Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,TSLA,UNH,XOM,ADBE_volume,AMZN_volume,AVGO_volume,CAT_volume,COST_volume,JPM_volume,LLY_volume,MA_volume,MSFT_volume,NVDA_volume,TSLA_volume,UNH_volume,XOM_volume,ADBE_high,AMZN_high,AVGO_high,CAT_high,COST_high,JPM_high,LLY_high,MA_high,MSFT_high,NVDA_high,TSLA_high,UNH_high,XOM_high,ADBE_low,AMZN_low,AVGO_low,CAT_low,COST_low,JPM_low,LLY_low,MA_low,MSFT_low,NVDA_low,TSLA_low,UNH_low,XOM_low,^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F
2011-02-14,33.86000061035156,9.520999908447266,2.412996530532837,71.59769439697266,53.920475006103516,31.315404891967773,24.309253692626953,23.552274703979492,20.846893310546875,0.5297606587409973,1.5386669635772705,33.965091705322266,48.44491958618164,2746300,81226000,25997000.0,4057400,1220000,28699200,7215100,11144000,56766200,1287828000,19246500.0,3752200,33108300,34.0,9.569999694824219,2.434971456371245,71.86117422129044,54.2454689521302,31.557638769336553,24.37255914559852,23.900532532153818,20.877517432189965,0.561624222465274,1.6093330383300781,34.00508767113892,48.559026707335825,33.61000061035156,9.417499542236328,2.3803884670255284,71.27874346542504,53.819360023506526,31.268304145456973,24.260016416230215,23.328723399070448,20.63253029999921,0.5276975349639176,1.536666989326477,33.29314910451411,46.72187332756297,1332.3199462890625,84.80999755859375,30.52899932861328,3.924999952316284,4.623000144958496,695.75,0.10999999940395355,60.20785140991211,67.7692642211914,19.50757598876953,41.14263916015625,33.2174186706543,24.329360961914062,29.21994972229004,825.9000244140625,6060.10009765625,4.665999889373779,1.0015925168991089,83.44400024414062,1.3510043621063232,1.6003072261810303,872.0,1364.5999755859375
2011-02-15,33.939998626708984,9.451499938964844,2.389603853225708,71.41743469238281,53.682167053222656,31.503807067871094,24.245952606201172,23.657573699951172,20.762176513671875,0.5169232487678528,1.5226670503616333,33.62113571166992,47.33805465698242,3145600,77818000,19788000.0,4421900,1460200,35972900,6143500,6887000,44116500,886980000,14305500.0,4392700,25684600,34.0,9.524499893188477,2.4285918002571125,71.49370616234305,53.83383132950382,31.85370015209515,24.316290818512467,23.700066365851153,21.04711801943012,0.5325111407023458,1.5446670055389404,33.96510666185457,48.43349851531227,33.470001220703125,9.412500381469727,2.36904656591795,70.73099675275796,53.53050277694148,31.3154040866728,24.22484899592314,23.46450578722063,20.754476701967047,0.5146308538500359,1.503999948501587,33.509145737469886,47.16688964972159,1328.010009765625,84.31999969482422,30.69300079345703,3.9760000705718994,4.531499862670898,690.5,0.125,60.47684097290039,67.92424011230469,19.52485466003418,41.062156677246094,33.283267974853516,24.265012741088867,29.136308670043945,820.030029296875,6037.10009765625,4.664999961853027,1.00210440158844,83.41300201416016,1.3481086492538452,1.6028209924697876,840.25,1373.5999755859375
2011-02-16,34.689998626708984,9.331000328063965,2.4370968341827393,71.79875946044922,54.13713836669922,32.25742721557617,24.379594802856445,23.498693466186523,20.808391571044922,0.53594970703125,1.6486669778823853,33.997108459472656,47.748844146728516,7727900,92564000,12605000.0,4852100,1435000,44327800,5705000,8418000,70817900,1318364000,61726500.0,4993700,16673500,35.18000030517578,9.5,2.45269203843071,72.39506052407746,54.23824784403672,32.540034303724894,24.386627550368313,23.909767903411378,20.84689651869049,0.5435144357719573,1.664667010307312,34.045105475837175,47.84583561330043,33.900001525878906,9.317500114440918,2.3966912697765226,71.35500126751865,53.732700457349196,31.69221560607728,24.16154206475961,23.44326815470221,20.484945016665534,0.5219663924162153,1.5379999876022339,33.589144500618225,47.275291429362106,1336.3199462890625,84.98999786376953,30.6299991607666,3.9210000038146973,4.466000080108643,690.5,0.10999999940395355,60.28178405761719,67.82830810546875,19.41254234313965,41.07558822631836,33.561302185058594,24.56744384765625,29.491804122924805,828.3699951171875,6085.2998046875,4.673999786376953,0.997307300567627,83.71600341796875,1.3498555421829224,1.6136579513549805,837.0,1374.699951171875
2011-02-17,34.97999954223633,9.387999534606934,2.383932113647461,71.66704559326172,54.05047607421875,32.17667770385742,24.52027702331543,23.262210845947266,20.954713821411133,0.5886737704277039,1.5733330249786377,34.06911087036133,47.85724639892578,4395700,68510000,34387000.0,2993500,1360100,22932600,4189000,14951000,57207300,3470096000,39276000.0,4823300,17853500,35.099998474121094,9.454500198364258,2.439932896455651,71.94439589727929,54.1732566031509,32.29106706127257,24.562478880219714,23.463591661924514,21.07793289876304,0.596238501479619,1.6993329524993896,34.197099894103864,47.9085976409416,34.41999816894531,9.26550006866455,2.3612483741992434,71.38969528924414,53.48715021343218,31.96135927827395,24.274087897372837,22.96568356298907,20.723681172724543,0.518298795219914,1.5700000524520874,33.71714181794412,47.383698016484566,1340.4300537109375,86.36000061035156,31.57200050354004,3.868000030517578,4.480000019073486,712.75,0.09000000357627869,60.3759651184082,68.07920837402344,19.360706329345703,41.1694450378418,33.678367614746094,24.683265686035156,29.735755920410156,834.02001953125,6087.39990234375,4.6620001792907715,1.0030291080474854,83.61000061035156,1.357533574104309,1.60929536819458,850.75,1384.699951171875
2011-02-18,35.38999938964844,9.324999809265137,2.3995273113250732,73.40045166015625,54.47658920288086,32.29779052734375,24.33738899230957,23.162439346313477,20.839181900024414,0.5875273942947388,1.5453330278396606,34.26907730102539,48.210975646972656,6779700,83572000,15639000.0,8745400,2130900,23844300,7277800,8877000,68667800,1394412000,35560500.0,6034900,22839500,35.84000015258789,9.425000190734863,2.415122519446358,73.40045166015625,54.51270209826041,32.38526442872535,24.520272616798895,23.387838863615652,20.954698137909816,0.5948629054084077,1.565999984741211,34.637045184499875,48.210975646972656,35.0,9.256500244140625,2.3839321032037883,71.72942052203474,53.660489561812575,31.994998227790347,24.29518714298934,23.062673097842072,20.785274420269136,0.5783580327295057,1.5306669473648071,34.045097380910065,47.64043155647594,1343.010009765625,86.19999694824219,32.29800033569336,3.875999927520752,4.478499889373779,709.75,0.09000000357627869,60.18764114379883,68.06446075439453,19.265670776367188,41.29465866088867,33.88323974609375,24.766918182373047,29.784549713134766,834.8200073242188,6083.0,4.697999954223633,1.0121968984603882,83.29000091552734,1.3626019954681396,1.6178088188171387,822.25,1388.199951171875
2011-02-22,33.7400016784668,9.020999908447266,2.3109190464019775,70.73094177246094,53.36439514160156,30.95878028869629,24.217817306518555,22.852066040039062,20.47723388671875,0.5320528745651245,1.4579999446868896,34.365081787109375,48.747283935546875,6549600,112742000,20118000.0,8241900,2115700,44561900,7829700,6916000,60889000,1396648000,30969000.0,10738900,32580400,35.130001068115234,9.236000061035156,2.3562867053473378,73.01213830529444,54.46216357146423,31.806598822099513,24.337392809320434,23.143050321993606,20.869990333095718,0.5698765282728404,1.5333329439163208,35.46099094535404,49.46616628838953,33.720001220703125,8.965999603271484,2.2776021639417294,70.398120590431,53.32828223546635,30.851121077590903,24.056037264546703,22.552765404401047,20.423326398388973,0.530218968978669,1.4520000219345093,34.18109777294756,48.34219819144823,1315.43994140625,93.56999969482422,32.86399841308594,3.867000102996826,4.3454999923706055,679.75,0.10000000149011612,61.088897705078125,68.721435546875,19.317508697509766,40.95487594604492,32.80037307739258,24.05265998840332,28.718090057373047,812.9600219726562,5996.7998046875,4.605000019073486,1.0087255239486694,83.06600189208984,1.3682323694229126,1.6227970123291016,762.25,1400.5
2011-02-23,33.380001068115234,8.833999633789062,2.2216010093688965,69.35112762451172,52.606040954589844,30.925146102905273,23.9434871673584,22.550914764404297,20.47723388671875,0.5068367123603821,1.4553329944610596,34.3250846862793,49.67728042602539,4734100,109640000,33272000.0,8907600,2783600,36264800,5926600,8440000,60234100,1491604000,24084000.0,7102200,38624600,33.7400016784668,9.057499885559082,2.3392734772633808,70.81414428645472,53.29937092501034,31.288497006757396,24.231878055169826,23.02942392464132,20.68516402930695,0.5370956140351891,1.5,34.94903071866723,50.33911374886677,32.93000030517578,8.719499588012695,2.191828398200041,67.97825278942675,52.29549436686912,30.47432382971004,23.92238356262969,22.5481432343302,20.35401635085957,0.49927198694168035,1.4073330163955688,34.04510968495103,48.7644106297843,1307.4000244140625,98.0999984741211,33.301998138427734,3.9000000953674316,4.273499965667725,691.5,0.11500000208616257,61.31079864501953,68.55168914794922,19.205198287963867,40.99510955810547,32.829647064208984,24.05265998840332,28.745967864990234,799.6500244140625,5923.5,4.5980000495910645,1.000400185585022,82.76000213623047,1.3673717975616455,1.6160049438476562,763.0,1413.4000244140625
2011-02-24,33.45000076293945,8.887499809265137,2.4087436199188232,69.73253631591797,52.70718002319336,30.891489028930664,23.99272346496582,22.55644989013672,20.615856170654297,0.5192155838012695,1.5019999742507935,34.19709777832031,49.04967498779297,3965500,93130000,35331000.0,6350900,1848000,31926900,5576500,9580000,64494200,1246120000,15829500.0,6313200,28577100,33.630001068115234,8.987500190734863,2.418667770490304,70.66165907216468,53.10439441624641,30.99242064527595,24.084165259795117,22.775383086689924,20.839187427285296,0.528155672483657,1.5053329467773438,34.67705582478492,49.93972235483136,32.939998626708984,8.727999687194824,2.244285470839363,68.48446255081558,52.216074283920726,30.42047909731538,23.887213495298937,22.443751015617515,20.407926005989232,0.5056907599831391,1.4333330392837524,33.901123751383764,48.75869628975894,1306.0999755859375,97.27999877929688,33.17900085449219,3.7929999828338623,4.326499938964844,685.75,0.11999999731779099,61.70088577270508,68.72882080078125,19.136085510253906,41.02640151977539,32.910125732421875,24.071979522705078,28.69019889831543,804.1799926757812,5920.0,4.534999847412109,1.0027776956558228,82.43800354003906,1.3764055967330933,1.6235084533691406,747.25,1415.300048828125
2011-02-25,34.630001068115234,8.862000465393066,2.4356801509857178,70.7240219116211,53.133262634277344,31.409603118896484,23.978660583496094,22.790172576904297,20.446439743041992,0.5299894213676453,1.5740000009536743,34.01311111450195,48.69022750854492,5620300,83828000,19132000.0,4623200,1818100,26782100,5821400,9826000,53006300,775652000,20194500.0,5498700,22230300,34.939998626708984,9.037500381469727,2.451984180772041,71.16778005727717,53.46548028098385,31.530720044986666,24.03493061203823,23.033122867961033,20.754485216903685,0.5387002898563756,1.590000033378601,34.413077139294074,49.20371802803801,34.13999938964844,8.854999542236328,2.395983390158494,70.12772091151804,52.894930786622666,31.03279461919394,23.915355124367075,22.633132685894232,20.40793479324412,0.5258631773569153,1.512666940689087,33.92511810080791,48.661702917571006,1319.8800048828125,97.87999725341797,32.89799880981445,4.005000114440918,4.435999870300293,712.0,0.125,62.06413650512695,68.95024871826172,19.170642852783203,41.151607513427734,33.30522537231445,24.387266159057617,29.164188385009766,821.9500122070312,6001.2001953125,4.515999794006348,1.0108054876327515,82.0469970703125,1.381998062133789,1.614439606666565,776.5,1408.699951171875
2011-02-28,34.5,8.66450023651123,2.409452438354492,71.36886596679688,54.01437759399414,31.416345596313477,24.309253692626953,22.222047805786133,20.469539642333984,0.5194447636604309,1.5926669836044312,34.06111526489258,48.79865646362305,4936900,135664000,16263000.0,4010800,3306600,25985300,5853300,13373000,51379900,903696000,15768000.0,6644900,24507000,35.0,8.794500350952148,2.4477315704098546,71.66701649681518,54.12992895137896,31.74605351077635,24.309253692626953,22.895471278072353,20.685171138632793,0.5389296816192062,1.6066670417785645,34.34908829975586,49.38631643446623,34.15999984741211,8.607500076293945,2.3740089227536108,70.39814294185253,53.33549477292371,31.234670121013423,24.020862780918772,22.209115177081767,20.41563213547663,0.5075245734123615,1.5666669607162476,33.87712816966155,48.7758341677864,1327.219970703125,96.97000122070312,33.80400085449219,4.0370001792907715,4.478000164031982,722.5,0.13500000536441803,62.14485168457031,68.92076873779297,19.08424949645996,41.357234954833984,33.50277328491211,24.63178253173828,29.589384078979492,823.4500122070312,5994.0,4.489999771118164,1.01449716091156,81.62200164794922,1.373437762260437,1.610046625137329,782.5,1409.300048828125
2011-03-01,33.970001220703125,8.472000122070312,2.273348331451416,69.24019622802734,53.16938018798828,30.68290901184082,24.098236083984375,22.20357322692871,20.146089553833008,0.4962923228740692,1.5959999561309814,33.95710372924805,48.38214111328125,5908400,116942000,101318000.0,7283700,3507200,33682600,4837800,12126000,60055000,988448000,16596000.0,5547400,23001800,34.790000915527344,8.697999954223633,2.3017031322153567,71.86114411126908,54.44769614745122,31.416338323767818,24.442899735699143,22.81602837133444,20.623558686229938,0.527009737966348,1.6213330030441284,34.365067583071216,49.3520643359467,33.66999816894531,8.433500289916992,2.2570443041113557,68.8865746801255,53.0321578072917,30.676181432890385,24.091203336624336,22.20357322692871,20.138388272954284,0.4962923228740692,1.5800000429153442,33.901108750321285,48.32508322131951,1306.3299560546875,99.62999725341797,34.41600036621094,3.872999906539917,4.490499973297119,727.25,0.12999999523162842,62.3249626159668,68.99917602539062,19.110166549682617,41.2938346862793,33.158897399902344,24.27145004272461,29.394208908081055,807.0800170898438,5935.7998046875,4.489999771118164,1.0187968015670776,81.87300109863281,1.3821508884429932,1.6270480155944824,775.75,1430.699951171875
2011-03-02,34.47999954223633,8.60099983215332,2.300995349884033,70.00988006591797,51.8260612487793,30.420495986938477,24.112302780151367,22.741209030151367,20.08448028564453,0.47566109895706177,1.6013330221176147,34.84504699707031,48.541893005371094,4562000,103714000,26617000.0,5420000,6197500,28600000,4869400,7798000,48658200,1718140000,9949500.0,7233800,17423600,34.81999969482422,8.664999961853027,2.306666244989336,70.80726015831215,53.277706947217695,30.9318793623742,24.126370957237494,22.812338506919506,20.30781301907117,0.5050030889556815,1.6186670064926147,35.029031033017645,48.678822370367484,33.90999984741211,8.417499542236328,2.2712227280611446,68.94208489810562,51.17606775915194,30.32629446167375,23.950522768506563,22.20727456443762,20.053676631750328,0.4641993969233134,1.5820000171661377,33.95712178552079,47.66896123004679,1308.43994140625,102.2300033569336,34.82500076293945,3.818000078201294,4.480000019073486,714.0,0.11999999731779099,61.36684799194336,68.63663482666016,19.006494522094727,41.32979202270508,33.612525939941406,24.387266159057617,29.666061401367188,810.9000244140625,5914.89990234375,4.554999828338623,1.0136024951934814,81.89800262451172,1.3771828413009644,1.626280665397644,776.75,1437.199951171875
2011-03-03,35.04999923706055,8.63949966430664,2.339273691177368,72.28412628173828,52.353275299072266,31.005878448486328,24.18967628479004,23.246511459350586,20.17690086364746,0.478412002325058,1.6239999532699585,35.932064056396484,48.96409225463867,3148200,82764000,32848000.0,7413400,2985400,23043600,7070700,10239000,68271500,1593704000,9603000.0,8739600,17153500,35.349998474121094,8.722999572753906,2.3449447537799077,72.40893361785413,52.43271925556988,31.17409609831501,24.386625396495067,23.251129502021758,20.33092212183792,0.489415272006084,1.6526670455932617,36.01228623778107,49.038261417209654,34.79999923706055,8.602499961853027,2.2931970469416263,70.66856612257628,51.7249528377506,30.756914478645573,23.92238628802578,22.791095983811474,20.16149829716754,0.46397024844314455,1.6039999723434448,35.08971891073815,48.52477523295451,1330.969970703125,101.91000366210938,34.3129997253418,3.7780001163482666,4.474999904632568,729.75,0.125,60.76634216308594,68.17051696777344,18.980575561523438,41.47828674316406,34.278324127197266,24.72831153869629,30.1958065032959,828.8900146484375,6005.10009765625,4.638999938964844,1.0160949230194092,81.8280029296875,1.3866548538208008,1.6332930326461792,790.5,1416.0
2011-03-04,35.27000045776367,8.583499908447266,2.324387311935425,71.44511413574219,52.584388732910156,30.629085540771484,24.33738899230957,23.070993423461914,19.98436737060547,0.4758903384208679,1.6633330583572388,35.659297943115234,48.541893005371094,4005900,98486000,20498000.0,5677000,2678000,27716900,6903800,6887000,70437200,959760000,23701500.0,5622100,20028600,35.5,8.637499809265137,2.3499066694054114,72.2494236099071,52.62050162948523,30.978978738089484,24.407729879894116,23.258516593647055,20.20769864406082,0.4836842852304226,1.6660000085830688,35.988213724095154,49.06679253194562,34.70000076293945,8.475500106811523,2.3045388476774518,70.73787111344583,52.15106152428134,30.34647841083047,24.196712583601474,22.961989303884035,19.86884962450981,0.4706179497782377,1.585332989692688,35.194000805969274,48.325083461811936,1321.1500244140625,104.41999816894531,35.31700134277344,3.809000015258789,4.4720001220703125,721.25,0.10999999940395355,61.27239990234375,68.65880584716797,18.954660415649414,41.39280319213867,34.314910888671875,24.4902286529541,30.279451370239258,824.989990234375,5990.39990234375,4.60099983215332,1.0128017663955688,82.36699676513672,1.3958877325057983,1.6274452209472656,800.5,1428.199951171875
2011-03-07,34.720001220703125,8.454000473022461,2.2669689655303955,70.81417846679688,52.13662338256836,30.407033920288086,24.379594802856445,22.841890335083008,19.8072452545166,0.4692426025867462,1.6626670360565186,34.945308685302734,48.33650207519531,5003600,118658000,16709000.0,6002100,3105000,28110800,7097800,7923000,64980400,1019140000,30504000.0,6084100,18062700,35.599998474121094,8.604499816894531,2.339273791506022,72.24946028171527,52.71439119851194,30.7165564735865,24.464001189152047,23.361045469727244,20.230806990458056,0.4809335791501328,1.6933330297470093,35.91601093926908,49.112442483331904,34.25,8.312000274658203,2.2379053388477925,70.06533969076422,52.02106651334676,30.11769923866483,24.267052060052098,22.766142843504895,19.676326386152077,0.4573224356619059,1.6466670036315918,34.74475021661815,48.319386446809524,1310.1300048828125,105.44000244140625,35.85499954223633,3.927000045776367,4.313000202178955,710.75,0.10000000149011612,60.881004333496094,68.4886703491211,18.971939086914062,41.401798248291016,33.83202362060547,24.226408004760742,30.042457580566406,812.25,5973.7998046875,4.607999801635742,1.0147030353546143,82.34300231933594,1.3990709781646729,1.6268362998962402,769.0,1434.0999755859375
2011-03-08,35.290000915527344,8.344499588012695,2.296032428741455,72.200927734375,53.16938018798828,31.221200942993164,24.604684829711914,23.001712799072266,19.953571319580078,0.448153018951416,1.6440000534057617,35.16192626953125,48.268028259277344,3783800,84380000,19603000.0,6165000,2615800,32941500,6907800,8048000,50549800,1947184000,20998500.0,4696700,17658200,35.65999984741211,8.48550033569336,2.3073743837826175,72.42280688015849,53.487150502682816,31.416331491703417,24.689091231586268,23.23819675489699,20.03828398020429,0.4768072760947494,1.6640000343322754,35.37852680934221,48.55900695866106,34.439998626708984,8.336000442504883,2.239322653535643,70.15547952449646,52.06438848194615,30.481041646278577,24.316293830345995,22.632207719308134,19.753342329203644,0.43829592170188314,1.600000023841858,34.59233766472134,47.78306666224174,1321.8199462890625,105.0199966430664,35.65299987792969,3.864000082015991,4.324999809265137,698.75,0.10499999672174454,60.50996780395508,68.32586669921875,19.058332443237305,41.36581802368164,34.285648345947266,24.310062408447266,30.767383575439453,824.6599731445312,5974.7998046875,4.6579999923706055,1.012248158454895,82.29199981689453,1.3963944911956787,1.619852900505066,751.25,1426.9000244140625
2011-03-09,35.130001068115234,8.452500343322754,2.197499990463257,70.9736328125,53.55937957763672,31.328855514526367,24.682056427001953,22.907485961914062,19.938159942626953,0.4387543499469757,1.6480000019073486,35.691402435302734,48.142513275146484,3435800,142178000,43929000.0,6402200,1926400,25174700,4693100,8961000,39789100,1318976000,13872000.0,4553400,13306600,35.630001068115234,8.487500190734863,2.26058949879491,71.82647830494592,53.624376176661215,31.69220368143328,24.745361893942775,23.264981607669508,20.007470003633586,0.4511330036873901,1.6660000085830688,35.70744442694382,48.239509087777854,35.02000045776367,8.194999694824219,2.1932469038070215,70.58534577789138,52.77938732901774,30.96550478082186,24.520276385537834,22.855755435103287,19.761034883996306,0.43485734966228795,1.6180000305175781,34.92125524445839,47.674667251459965,1320.02001953125,104.37999725341797,36.042999267578125,3.930000066757202,4.19950008392334,695.0,0.0949999988079071,61.096961975097656,68.72544860839844,19.023773193359375,41.24881362915039,34.35148620605469,24.284317016601562,30.96953582763672,821.1900024414062,5937.2998046875,4.598999977111816,1.0092039108276367,82.80000305175781,1.3897961378097534,1.6163444519042969,732.25,1429.300048828125
2011-03-10,34.86000061035156,8.307000160217285,2.1982083320617676,68.22093200683594,52.99604415893555,30.63578987121582,24.456968307495117,22.499177932739258,19.568510055541992,0.4107878804206848,1.6006669998168945,35.129817962646484,46.430885314941406,5265900,119968000,36191000.0,11824400,2372300,33783700,5660700,10315000,66549500,1722736000,15255000.0,5117600,25996300,35.15999984741211,8.423500061035156,2.2060058524791035,69.85729182158987,53.573817375685906,31.120257402423174,24.75942743022858,22.861291538129745,19.799542645952343,0.43187741055266415,1.6326669454574585,35.530934852669084,47.811605583760176,34.150001525878906,8.241000175476074,2.1372454695059617,68.01985331120792,52.80827254703737,30.454114547013063,24.435867381844616,22.365231842290658,19.5223038312338,0.4103293903940385,1.5820000171661377,34.97739158585933,46.328187185077304,1295.1099853515625,102.69999694824219,35.06399917602539,3.8299999237060547,4.184500217437744,676.25,0.06499999761581421,62.12253189086914,69.30992889404297,19.170642852783203,41.032859802246094,33.334495544433594,23.69877052307129,30.41886329650879,799.530029296875,5845.2998046875,4.535999774932861,1.0096625089645386,82.83300018310547,1.3902212381362915,1.6200103759765625,714.0,1412.199951171875
2011-03-11,34.61000061035156,8.403499603271484,2.213803768157959,69.35112762451172,52.3966064453125,30.77712059020996,24.52027702331543,22.948122024536133,19.776447296142578,0.41376787424087524,1.6046669483184814,34.9693717956543,46.85308837890625,5058900,92198000,13135000.0,8172400,2068600,20337600,5137800,5006000,49905800,1486832000,13962000.0,4774800,17607100,34.869998931884766,8.460000038146973,2.2343610554827316,69.68394881211574,53.16937488842769,30.844406663317184,24.61875160040007,23.001700805795753,19.907366202264623,0.42522960493795003,1.6166670322418213,35.346422664515174,47.303818791432455,33.959999084472656,8.206000328063965,2.1769426176881526,67.26407983208281,52.38938276545536,30.447412671666584,24.407734266185695,22.35691420517416,19.530012053764587,0.4048277565428474,1.5686670541763306,34.70463317021263,45.70058672841989,1304.280029296875,101.16000366210938,35.93299865722656,3.8889999389648438,4.195000171661377,659.25,0.07000000029802322,61.77167510986328,69.14716339111328,19.03241539001465,41.023860931396484,33.678367614746094,23.73093605041504,30.34217643737793,802.8300170898438,5828.7001953125,4.540999889373779,1.0019036531448364,82.91799926757812,1.3801289796829224,1.6066062450408936,695.0,1421.5
2011-03-14,34.08000183105469,8.33650016784668,2.197499990463257,70.79334259033203,51.883846282958984,30.48105239868164,24.428834915161133,22.986934661865234,19.78413963317871,0.4172065556049347,1.5499999523162842,34.624412536621094,47.001434326171875,5577100,80440000,16414000.0,7985500,2217400,24508900,11484600,7354000,54473400,1003360000,17490000.0,4516400,16383200,34.45000076293945,8.404000282287598,2.209550937847966,71.13309368883141,52.33884458701816,30.642542550123697,24.54137767100333,23.056215876270727,19.838047134459075,0.4275220921744884,1.600000023841858,34.84101604143427,47.14977705181082,33.52000045776367,8.228500366210938,2.1776516893741142,69.60767605923105,51.667185409171076,30.03023011085398,24.309259410992347,22.745830890871417,19.522301939357593,0.41032950389836653,1.5466669797897339,34.37571894362538,46.476534654412205,1296.3900146484375,101.19000244140625,35.82500076293945,3.9140000343322754,4.173500061035156,664.0,0.07500000298023224,61.7446403503418,69.30250549316406,18.937379837036133,40.857383728027344,33.875919342041016,23.299821853637695,30.370075225830078,798.1699829101562,5775.2001953125,4.520999908447266,1.0101009607315063,81.28399658203125,1.3934563398361206,1.6071486473083496,700.5,1424.5999755859375
2011-03-15,33.040000915527344,8.253999710083008,2.2024617195129395,69.85730743408203,51.681640625,30.016754150390625,23.98569107055664,22.599870681762695,19.5531005859375,0.4048278033733368,1.5299999713897705,34.32759475708008,46.43658447265625,6682500,98690000,19796000.0,11762200,2542200,35606000,7572000,9512000,76067300,1256280000,19782000.0,4397900,23191300,33.2400016784668,8.343999862670898,2.2173479418474034,70.29413038013311,51.977751058803754,30.272445665352272,24.16153925342943,22.778157742723334,19.614709352880976,0.411704826191002,1.5306669473648071,34.56024335942662,46.83596360598236,32.15999984741211,8.038000106811523,2.115979325259089,68.33188943738331,51.03165232553543,29.50537112046733,23.915352870699657,22.343064581146663,19.252758030696672,0.38992755994153594,1.4533330202102661,33.82218646308446,45.500892486372734,1281.8699951171875,97.18000030517578,34.11600112915039,3.940999984741211,4.125,636.0,0.0949999988079071,62.66909408569336,69.55409240722656,18.954660415649414,40.64594268798828,33.31254196166992,22.785057067871094,29.840312957763672,791.3300170898438,5695.2998046875,4.4679999351501465,1.0088882446289062,81.81999969482422,1.3992079496383667,1.6172070503234863,667.75,1392.5999755859375
2011-03-16,32.09000015258789,8.234999656677246,2.1008310317993164,69.61463165283203,50.38163757324219,29.478466033935547,23.65509605407715,22.56753921508789,19.091039657592773,0.40184760093688965,1.5213329792022705,33.58150863647461,45.24986267089844,8168600,104162000,28724000.0,13046600,3980200,41962900,8771200,9587000,100725400,1476520000,17545500.0,7141200,33396500,32.79999923706055,8.406999588012695,2.2095681365585906,71.14698493849413,51.414403555162565,30.131148861820183,23.98568878173473,22.949053582254308,19.468393619559308,0.42064481130803344,1.5499999523162842,34.24736112448606,46.67622328317396,31.790000915527344,8.143500328063965,2.0894597991847346,68.6716442016531,50.222749651399944,29.377534403096668,23.53551790585456,22.528741323030843,19.006327034074243,0.39657521332856516,1.512666940689087,33.26061388014286,44.958888240087376,1256.8800048828125,97.9800033569336,34.47100067138672,3.937999963760376,4.186999797821045,616.5,0.08500000089406967,63.37753677368164,70.14592742919922,19.015134811401367,40.393959045410156,32.63209533691406,22.096540451049805,29.101451873779297,781.9000244140625,5598.2001953125,4.388000011444092,0.9940357208251953,81.05599975585938,1.3986209630966187,1.607200264930725,662.0,1396.0
2011-03-17,31.84000015258789,8.048500061035156,2.0837743282318115,71.5006332397461,50.8871955871582,29.983125686645508,24.006797790527344,22.517658233642578,19.08333969116211,0.4094124138355255,1.5206669569015503,33.91042709350586,46.305355072021484,9127200,129428000,38143000.0,9854900,2346600,46741800,16946300,6941000,62497000,1238516000,13839000.0,5850600,21941300,32.56999969482422,8.3149995803833,2.154133678949183,71.63237052649238,51.269968109063875,30.016768715434132,24.11230510399601,23.00171045549361,19.42218727084186,0.4133093872870582,1.562000036239624,34.27945395057145,46.499337950765025,31.530000686645508,8.038999557495117,2.009150743632616,70.22482403376841,50.61275626259789,29.20259561147603,23.81688140640693,22.381865593173824,19.060235846191965,0.3942829553450401,1.5093330144882202,33.621622401792116,45.774748955645,1273.719970703125,101.41999816894531,34.2599983215332,4.1579999923706055,4.335999965667725,646.5,0.07000000029802322,62.8917350769043,69.93141174316406,18.850988388061523,40.83039093017578,33.034515380859375,22.810787200927734,29.261770248413086,785.52001953125,5696.10009765625,4.426000118255615,0.9797198176383972,79.12799835205078,1.3884838819503784,1.5991301536560059,710.25,1404.0
2011-03-18,31.989999771118164,8.090999603271484,2.1548449993133545,72.84574890136719,51.03163146972656,30.77712059020996,24.25298309326172,22.32550811767578,19.098737716674805,0.4039108455181122,1.5306669473648071,34.1751594543457,46.12848663330078,6921600,148854000,30697000.0,11512900,4766800,77421000,6271000,9169000,85486700,886960000,10318500.0,7372200,28895900,32.400001525878906,8.177000045776367,2.1669268851622876,73.24790641830201,51.443293129174286,31.073182905400568,24.281119448855673,22.74859182818943,19.39138049712875,0.4172064555904978,1.5460000038146973,34.375717909031486,46.97289376200845,31.93000030517578,8.029500007629395,2.1221527578659902,72.56840399728864,50.66330087651938,30.110977172532145,24.070102148362142,22.299642861098594,19.098737716674805,0.4034523828014097,1.5006669759750366,33.934489920778596,46.12848663330078,1279.2099609375,101.06999969482422,35.060001373291016,4.168000221252441,4.329500198364258,683.5,0.06499999761581421,63.060420989990234,69.886962890625,18.76459312438965,41.023860931396484,33.09303283691406,23.171125411987305,29.05266571044922,794.6599731445312,5718.10009765625,4.428999900817871,0.9841550588607788,79.5,1.4032920598983765,1.6143354177474976,723.0,1415.9000244140625
