0,8,"tensor(0.0012, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0318, grad_fn=<MulBackward0>)","tensor(-0.1218, grad_fn=<AddBackward0>)","tensor(0.1525, grad_fn=<DivBackward0>)","tensor(0.0066, grad_fn=<MeanBackward0>)","tensor(0.0431, grad_fn=<StdBackward0>)"
0,9,"tensor(0.0004, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0306, grad_fn=<MulBackward0>)","tensor(-0.0079, grad_fn=<AddBackward0>)","tensor(0.0382, grad_fn=<DivBackward0>)","tensor(0.0020, grad_fn=<MeanBackward0>)","tensor(0.0533, grad_fn=<StdBackward0>)"
0,10,"tensor(0.0008, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0312, grad_fn=<MulBackward0>)","tensor(-0.0667, grad_fn=<AddBackward0>)","tensor(0.0972, grad_fn=<DivBackward0>)","tensor(0.0041, grad_fn=<MeanBackward0>)","tensor(0.0424, grad_fn=<StdBackward0>)"
0,11,"tensor(0.0009, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0347, grad_fn=<MulBackward0>)","tensor(-0.1103, grad_fn=<AddBackward0>)","tensor(0.1441, grad_fn=<DivBackward0>)","tensor(0.0047, grad_fn=<MeanBackward0>)","tensor(0.0328, grad_fn=<StdBackward0>)"
0,12,"tensor(0.0006, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0402, grad_fn=<MulBackward0>)","tensor(-0.0468, grad_fn=<AddBackward0>)","tensor(0.0864, grad_fn=<DivBackward0>)","tensor(0.0031, grad_fn=<MeanBackward0>)","tensor(0.0355, grad_fn=<StdBackward0>)"
0,13,"tensor(0.0016, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0468, grad_fn=<MulBackward0>)","tensor(-0.1139, grad_fn=<AddBackward0>)","tensor(0.1591, grad_fn=<DivBackward0>)","tensor(0.0088, grad_fn=<MeanBackward0>)","tensor(0.0556, grad_fn=<StdBackward0>)"
0,14,"tensor(0.0028, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0515, grad_fn=<MulBackward0>)","tensor(-0.2249, grad_fn=<AddBackward0>)","tensor(0.2736, grad_fn=<DivBackward0>)","tensor(0.0156, grad_fn=<MeanBackward0>)","tensor(0.0569, grad_fn=<StdBackward0>)"
1,0,"tensor(-0.0003, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0564, grad_fn=<MulBackward0>)","tensor(0.0810, grad_fn=<AddBackward0>)","tensor(-0.0243, grad_fn=<DivBackward0>)","tensor(-0.0016, grad_fn=<MeanBackward0>)","tensor(0.0655, grad_fn=<StdBackward0>)"
1,1,"tensor(0.0053, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0594, grad_fn=<MulBackward0>)","tensor(-0.2425, grad_fn=<AddBackward0>)","tensor(0.2967, grad_fn=<DivBackward0>)","tensor(0.0291, grad_fn=<MeanBackward0>)","tensor(0.0981, grad_fn=<StdBackward0>)"
1,2,"tensor(0.0036, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0606, grad_fn=<MulBackward0>)","tensor(-0.1875, grad_fn=<AddBackward0>)","tensor(0.2444, grad_fn=<DivBackward0>)","tensor(0.0199, grad_fn=<MeanBackward0>)","tensor(0.0814, grad_fn=<StdBackward0>)"
1,3,"tensor(0.0003, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0610, grad_fn=<MulBackward0>)","tensor(0.0371, grad_fn=<AddBackward0>)","tensor(0.0236, grad_fn=<DivBackward0>)","tensor(0.0014, grad_fn=<MeanBackward0>)","tensor(0.0612, grad_fn=<StdBackward0>)"
1,4,"tensor(0.0015, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0609, grad_fn=<MulBackward0>)","tensor(-0.0660, grad_fn=<AddBackward0>)","tensor(0.1254, grad_fn=<DivBackward0>)","tensor(0.0081, grad_fn=<MeanBackward0>)","tensor(0.0646, grad_fn=<StdBackward0>)"
1,5,"tensor(0.0058, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0612, grad_fn=<MulBackward0>)","tensor(-0.4020, grad_fn=<AddBackward0>)","tensor(0.4574, grad_fn=<DivBackward0>)","tensor(0.0317, grad_fn=<MeanBackward0>)","tensor(0.0692, grad_fn=<StdBackward0>)"
1,6,"tensor(0.0015, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0610, grad_fn=<MulBackward0>)","tensor(-0.0438, grad_fn=<AddBackward0>)","tensor(0.1033, grad_fn=<DivBackward0>)","tensor(0.0083, grad_fn=<MeanBackward0>)","tensor(0.0808, grad_fn=<StdBackward0>)"
1,7,"tensor(0.0007, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0585, grad_fn=<MulBackward0>)","tensor(0.0031, grad_fn=<AddBackward0>)","tensor(0.0546, grad_fn=<DivBackward0>)","tensor(0.0041, grad_fn=<MeanBackward0>)","tensor(0.0748, grad_fn=<StdBackward0>)"
1,8,"tensor(0.0018, grad_fn=<MulBackward0>)","tensor(0., grad_fn=<ReluBackward0>)","tensor(0.0578, grad_fn=<MulBackward0>)","tensor(-0.0939, grad_fn=<AddBackward0>)","tensor(0.1499, grad_fn=<DivBackward0>)","tensor(0.0099, grad_fn=<MeanBackward0>)","tensor(0.0661, grad_fn=<StdBackward0>)"
