trial,START,END,SPLIT,TICK,MACRO,FEAT,BATCH,LBACK,PRED_DAYS,WARMUP,DROPOUT,DECAY,ATTENT,FEAT_PER,INIT_LR,EXP_PEN,RETURN_PEN,EXP_EXP,DOWN_CUTOFF,TEST_CHUNK,RETRAIN_WIN,SEED,MAX_HEADS,LAYERS,EARLY_FAIL,VAL_SPLIT,sharpe,down,CAGR,avg_bench_perf,exp_delta,score
8,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.003606690070459253,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.62369777,-0.85758724,2.6145720199999998,5.02062312,5193.7404,9.90852329
9,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.004248435466776273,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.93156174,-0.66291568,3.5108209,6.60169815,5493.0907,10.60573038
10,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.002549101843306514,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.38820599,-0.91045606,1.42062062,6.23352352,3281.1834,9.56729387
11,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.003930531091896043,0.18,0.0,0.0,12,0,42,1,1,2,0.15,0.79285196,-0.85879096,0.21000509,0.08517068,4056.1178,9.07527004
12,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.004726007836153283,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.3826802699999998,-0.92242844,1.49217464,2.89458882,4750.9031,9.53782339
13,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0031318802099957995,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.3141965,-0.8840690499999999,1.3574035599999998,2.30811833,4999.7942,9.5460584
14,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0019897050866854588,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.2693841399999999,-0.71882672,1.2776425999999999,1.9389429200000001,5883.0962,9.8317307
15,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.003383754069334428,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.9088306099999999,-0.70701071,3.57671993,3.6032011699999997,3357.0424,10.49480919
16,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.004286101010502597,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.6531684100000001,-0.84413274,2.71518507,8.44328768,6188.8756,9.964902930000001
17,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.005225571400604875,0.18,0.0,0.0,12,0,42,1,1,2,0.15,0.7885985999999999,-0.8733008,0.14213317,-0.28904833,5896.254,9.041997
18,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0028382396042678326,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.6478968800000002,-0.84379276,2.7122939500000003,3.65730718,8539.0242,9.96031136
19,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.005954960370279564,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.7005648199999999,-0.71768678,2.47647186,3.02308608,5905.1263,10.26519126
20,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0016845657254382252,0.18,0.0,0.0,12,0,42,1,1,2,0.15,2.18346871,-0.7891005,5.531060139999999,6.20096809,3837.774,10.60526771
21,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0016634400092976828,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.34030257,-0.96499437,1.38791064,1.55539717,5680.3441,9.41031383
22,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0014877438160488953,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.31372342,-0.80560873,1.3970580799999999,0.9410552400000001,4195.8813,9.70250596
23,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0038166629925933675,0.18,0.0,0.0,12,0,42,1,1,2,0.15,-1.0249714,-0.99400498,-0.8666103900000001,-1.30284623,7262.5972,6.98701864
24,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.0028362840399476924,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.86106947,-0.57244136,3.40079632,3.79294667,7328.8963,10.71618675
25,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.002943052080663935,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.5879015799999998,-0.67179813,2.20488175,2.21375368,7135.2773,10.24430532
26,2019-01-01,2025-07-01,2023-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE",^VIX,"price,ema",55,84,6,0.999,0.028,0.003,0,"8,12,24",0.01,0.004193126440164709,0.18,0.0,0.0,12,0,42,1,1,2,0.15,1.1760825,-0.5949285400000001,0.9980615199999999,0.62582907,6923.8956,9.98622542
