Date,price_TSLA,vol8_TSLA,vol12_TSLA,vol24_TSLA,vol30_TSLA,macd_TSLA,log_ret_TSLA,log_ret_norm5_TSLA,sma8_TSLA,sma12_TSLA,sma24_TSLA,sma30_TSLA,ema8_TSLA,ema12_TSLA,ema24_TSLA,ema30_TSLA,volume_zscore8_TSLA,volume_zscore12_TSLA,volume_zscore24_TSLA,volume_zscore30_TSLA,^N225,HG=F,ZC=F,TLT,^GSPC,AUDUSD=X,CL=F,SHY,BRL=X,^VIX,NG=F,^FVX,UUP,SI=F,TIP,^IRX,IEF,HYG,day_of_week,month
2023-09-27,0.2129910159282932,0.2212127472080618,0.16308150298233667,0.008796076879311132,0.03097896655144057,-0.05782687235760938,0.99951457994418,0.8055472201673379,-0.16034182107671655,-0.19412250459597652,-0.20493858559477954,-0.14248864996527402,-0.12893370191367462,-0.16715514494140224,-0.22338845574461919,-0.22701250418979155,0.06328165891186217,0.10098752178445451,0.22474267566210632,0.18496780894227066,0.19925845730998684,0.3384979646849407,-0.03166600228384407,0.09586920230639835,0.5754885041694957,0.08772303535124237,0.003943751098005606,0.1581416657398187,-0.11969392668736029,-0.3142086874749241,-0.07489962150782366,-0.21932455067680998,-0.34047320352860033,0.3306675883429634,0.1531235475256022,0.014743050071820071,0.1735409178612416,0.3260336677645938,-0.2840452214263529,-0.017725570572533957
2023-09-28,0.1977388961155101,0.2009520984241535,0.13356570468802464,0.023967162871737148,0.05168445262708565,-0.07810206170498422,0.9995205347201538,0.8145234121518258,-0.16689855803051545,-0.19495195958265416,-0.2008180183947526,-0.14174202009148035,-0.13978676226967132,-0.1739775297941387,-0.22050713290480534,-0.22092195752671623,0.06703426155960654,0.10778868239991042,0.2323533740488724,0.18988406662020724,0.1823714618496004,0.3568087891955356,-0.022817711783205002,0.10741459250330007,0.5831334253923625,0.06532081183517524,-0.03179019900555188,0.17776356517993222,-0.10752722549457652,-0.32945943274444595,-0.04302508401749798,-0.2357488604509793,-0.36278002279826854,0.32758447028798404,0.17883209213285625,-0.04328631465008544,0.18841696900600186,0.3441260825035316,-0.27165517424064395,0.008173822722771024
2023-09-29,0.20976616609515858,0.20186488002805344,0.13171079946030384,0.025287457763089473,0.05264387650138936,-0.06446346697641973,0.9995182738452824,0.8162302852374486,-0.16786238056396666,-0.19163959080295867,-0.20847527079578998,-0.17083215821127437,-0.13646361745308377,-0.17254444271889538,-0.23323940441971575,-0.24814621960444663,0.06512506126736271,0.10421907506885966,0.22668309650648888,0.18601066513870992,0.1687962167450782,0.35594243281511295,-0.01735908492256734,0.09777781892117217,0.5744421510598673,0.07518445956795301,-0.043474009587446454,0.17120997269384844,-0.10960289554132113,-0.31896330210871604,-0.05142562679798171,-0.2290325746576083,-0.3737055513926773,0.308894415190158,0.1631920478264302,-0.03386707307631029,0.17701443662832003,0.33036900214126874,-0.24899039315741375,0.00567641451317433
2023-10-02,0.21500345371876448,0.19744188652302505,0.12749623240703614,0.02613552248947251,0.05262855016278883,-0.06107128436840609,0.9995176561128666,0.8176255017169076,-0.16778755284455749,-0.19110661629423334,-0.20993270426461436,-0.18170262791845734,-0.1355459790056535,-0.17200123252569172,-0.23681155495799203,-0.2594474455334596,0.06324461816547317,0.10241400315437736,0.22674100689315832,0.18533398866381517,0.1654206579885364,0.3422159366117817,-0.015122955556650624,0.08949545761563885,0.5740289940802874,0.07431635052626236,-0.04354470836914614,0.17040855186489953,-0.10537801653873792,-0.3233558410863751,-0.05569996393484098,-0.22244407987304274,-0.3843585528963182,0.28460732852264453,0.15446968325112462,-0.02945405733757262,0.16709949666999624,0.3186759466781385,-0.24890914939148837,0.009228659057610588
2023-10-03,0.22869368584667918,0.20320867158955772,0.14287660243989156,0.028636965551380084,0.04452887443560536,-0.040008380311584005,0.9995186564826402,0.8153228914766836,-0.15315714007105108,-0.1825804791967774,-0.21057460682469403,-0.19249045327317865,-0.12247021583580267,-0.16097553551408472,-0.23655415998162768,-0.2736583862999231,0.07068131331898077,0.10576414142876121,0.2271855259109172,0.18544725970818715,0.17385643957125765,0.34649234183377337,-0.009042626224138772,0.10899009857822241,0.5803405832304477,0.10637308513462383,-0.05425341409580284,0.191431797901751,-0.12595718428699856,-0.33098249115637335,-0.0581571886915838,-0.24692352749548682,-0.39507220375314395,0.28710275580711775,0.17502298905379993,-0.04187302138170633,0.19260652501073702,0.34275418829305604,-0.2572590872632112,-0.02614894828794754
2023-10-04,0.23434799857774022,0.18380394870588762,0.12103396572778555,0.035092078036059134,0.06333001680756693,-0.051681102539952894,0.9995422882879839,0.8275057398977224,-0.1667893054593382,-0.1900276357270829,-0.2051525480006111,-0.19610294818385976,-0.12940196555194416,-0.16702502531281158,-0.23723990612395707,-0.27036703152024866,0.09705851359339976,0.13106574651535857,0.2514579463110488,0.21504494030671306,0.091212414630896,0.3142389391078737,-0.0097780045912344,0.15198278764733847,0.599105872674086,0.06373226680680978,-0.16351478330842265,0.24051831430379692,-0.026765541343722037,-0.35382700081764196,-0.05493811977209361,-0.2733904244321796,-0.41551025289698107,0.25988474154506724,0.20599717280434196,-0.06176223468401112,0.2290991710568038,0.3735255760463137,-0.25089369746335255,0.042735792282180496
2023-10-05,0.23116592899953678,0.18536512360644267,0.12137116440034787,0.03577759895672865,0.06755557371562726,-0.061425323093175145,0.9995422895780596,0.8354314954427756,-0.17283738028673448,-0.19262418220902192,-0.20658818405319423,-0.19340818417151587,-0.13498059415023714,-0.17188273367673454,-0.23693045556526593,-0.26838944012217564,0.10555941996800826,0.13920230060720962,0.2665413046951041,0.2297315032006596,0.08827514199370935,0.31705089901754147,-0.0063860514825489585,0.14903281895525566,0.6012009902104135,0.06004175851352374,-0.16056193871118932,0.2402097214620057,-0.01969463967810384,-0.35438631118452546,-0.053159366138060084,-0.27595974291867287,-0.4376970203631395,0.2681330313389193,0.20925345116723834,-0.053885318303629914,0.22712369294302423,0.37681100613283425,-0.2513545135714151,0.04367795452692436
2023-10-06,0.21954729838872977,0.18707803331822162,0.13080835309365116,0.03834697404368124,0.0850188931124355,-0.08756315098936511,0.9995377758364543,0.8381133083187732,-0.19224717623175766,-0.20577165205621453,-0.2136917853458672,-0.18936206799639696,-0.1514733646740034,-0.18712373235835764,-0.24106662987808614,-0.2639034148731765,0.10697148732663928,0.14693602303478476,0.28394082065071813,0.24847721694386787,0.07203959368470043,0.2971458884701478,-0.04052075448042516,0.13480451567734744,0.5832144323880621,0.03366195321949855,-0.1715337942826625,0.22135143813126787,-0.005934372442411026,-0.3532481563595001,-0.03924915075270936,-0.26014276528310626,-0.43033435683613275,0.24477781737285226,0.19390758765645646,-0.04096986620618145,0.20894140045893392,0.3675804940592621,-0.2553874556051368,0.06224886652593796
2023-10-09,0.21261228883267375,0.2011282193348083,0.13928941694031519,0.0428785164785145,0.09614920299351612,-0.10588060964029698,0.9995366809970762,0.8374109985957039,-0.20561797381799185,-0.2156281640611734,-0.21991655373714997,-0.18864674690141967,-0.16429068129449328,-0.1990018467274807,-0.24559438927916322,-0.26324804378087135,0.10414688138445033,0.14714599599764333,0.28994335477968736,0.2556790843747497,0.06563544191432016,0.2965120169051877,-0.0436882397139925,0.12729725670322523,0.5783648059572718,0.016488583971822585,-0.15976928930164527,0.23313399044761143,0.0008785862764903214,-0.3513246254175624,-0.038064250096038706,-0.27516218182522273,-0.4307254468831643,0.23844531157508908,0.18871313350083654,-0.03448232247077241,0.1981378235950399,0.3756519279139613,-0.2631259338941052,0.06937948984204503
2023-10-10,0.18711932268677817,0.21814718743401457,0.14466625308413708,0.04726529557071559,0.12342766473440596,-0.1516229383042633,0.999528679837028,0.8354592333751459,-0.23702101959585026,-0.24715892237116732,-0.2376939239877496,-0.19227143228433893,-0.1984869702128449,-0.2315265804405169,-0.2636242454695454,-0.2678114585950203,0.08579787760708552,0.1341989469462225,0.3005885565765565,0.2687367395039068,0.06057184351097476,0.34116235067597805,0.08695691513504632,0.12442542844123423,0.5771056178526797,0.048910625414561794,-0.14587536375392196,0.22312535105423428,0.0034310145100124746,-0.35997868321296184,-0.03143936730674382,-0.2739707753614695,-0.42831085555722204,0.2478300548163579,0.18168303788017387,-0.07952220688249616,0.18899218628882172,0.3696497495051801,-0.24950122051335635,0.11132750220924346
