Date,price_TSLA,ret_TSLA,vol8_TSLA,vol12_TSLA,vol24_TSLA,vol30_TSLA,macd_TSLA,log_ret_TSLA,log_ret_norm5_TSLA,sma8_TSLA,sma12_TSLA,sma24_TSLA,sma30_TSLA,ema8_TSLA,ema12_TSLA,ema24_TSLA,ema30_TSLA,volume_zscore8_TSLA,volume_zscore12_TSLA,volume_zscore24_TSLA,volume_zscore30_TSLA,^N225,HG=F,ZC=F,TLT,^GSPC,AUDUSD=X,CL=F,SHY,BRL=X,^VIX,NG=F,^FVX,UUP,SI=F,TIP,^IRX,IEF,HYG,day_of_week,month
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,-0.11293524797802879,0.03162569429295987,0.09696813402436605,0.012142547680114643,0.08778808278069332,-0.04597086869704232,-0.26888491975639034,0.029555578021846187,0.06940729486630635,-0.007516927199563458,0.023659685334864563,0.0457745172926468,0.052638082098178,-0.044210733622762115,-0.01695364001466927,0.019809189398469616,0.028114846809222417,-0.06745255251306348,-0.0031525484455543393,-0.02052367859943882,0.018975145462536893,-0.06820387312672255,0.044224552336182096,-0.08105192267909958,0.17223031794951363,-0.10626546322996579,0.22447565433304345,-0.09058323215365385,0.06312231719902796,0.0034192783286093355,0.029098255726439187,-0.03619632901306322,-0.07054389782652389,-0.12727767736040352,0.05985260007928887,-0.02051221914104464,0.09605011567349292,0.13705008807495855,-0.01223386927510722,-0.06870556929400282,-0.07140926695311306
2019-05-13,-0.1616216784321352,0.0069184092427815045,0.12009857067394676,0.037847018270453815,0.06014200263851992,-0.06590238893495451,-0.30598623002332836,0.004495382240572103,0.049041532960763905,-0.05513772508724804,-0.027930379486262005,-0.004118635537876011,0.006020632245876489,-0.09364672623984442,-0.06644484623079662,-0.029216815828448206,-0.020732410524808502,-0.061482390663036145,-0.0007928685709076883,-0.01672353835299693,0.02302203507784188,-0.08047727178884942,0.017020435271405055,-0.05846040638329578,0.19072295319083454,-0.15186631934003364,0.22267033322400928,-0.10275364603380416,0.09413434962854762,0.008978713133220649,0.08192339507738695,-0.03537890890810981,-0.09856626024255151,-0.1271137908485583,0.05862118978305781,-0.004802680682874266,0.06803373762077389,0.16209282140433426,-0.0764561754076489,-0.09795585400597719,-0.02735375620180745
2019-05-14,-0.16064457003256802,0.009538056061663273,0.11995838768752606,0.03611465583082034,0.06508817403358581,-0.0641918963427276,-0.30633924404417884,0.007124033706342838,0.0522911121117017,-0.0547460295993501,-0.027694320419008513,-0.004044107006423206,0.006510195691504125,-0.09295383318490101,-0.06594205320151383,-0.02903429505668606,-0.020638006134169665,-0.06656503503063672,-0.004237334004076812,-0.019865747322124618,0.019764860181712297,-0.08458000025106002,0.018793560328744657,-0.048967244177154104,0.1894904254834406,-0.14873319551776623,0.2189585222171803,-0.10025821753439693,0.0925256141099221,0.008359555287800031,0.07668843836155217,-0.03184811235694162,-0.09671166388490211,-0.12742604323769874,0.0630367980077886,-0.004933845546656849,0.06805314454340314,0.16040060844154713,-0.07338432347479103,-0.09777090045250128,-0.02784399808713123
2019-05-15,-0.14149201273122383,0.008534318803004188,0.12117167488296804,0.029833544122354817,0.07563957846074058,-0.061905579932972785,-0.2920287264435469,0.006083883442448531,0.048759318115736444,-0.03601728789840642,-0.008301297681430076,0.014929863673017504,0.025168473518117386,-0.07278972115054287,-0.046048501416460795,-0.009812775261456214,-0.0016173211341636983,-0.06746811981603086,-0.004282152076974782,-0.01733267676255106,0.022408949048345533,-0.0843796102738713,0.02373211419331712,-0.06419752926177737,0.18284006250620635,-0.15265140701280017,0.2252812193322791,-0.09956638633626406,0.08933674894209744,0.012334475266042743,0.08311401066603508,-0.018921431751323964,-0.08930595497958009,-0.13535452437558151,0.0689197017005501,-0.006928127685269451,0.07032766373073132,0.15412107159892235,-0.07509519492356773,-0.10062298048181423,-0.04419231896378561
2019-05-16,-0.027333996110398315,0.02041389443516352,0.11553440355835391,-0.014687948063536557,0.12347526932444051,-0.04940863281410976,-0.1927981472577091,0.01773862200904465,0.045978382510919624,0.07774892412051156,0.1032384969018114,0.1240617914913442,0.13489361788300053,0.044547721134711164,0.06963644138478799,0.10192043163381632,0.1089462779180561,-0.030479589095225683,0.038914374405012164,0.009547000236712892,0.05124910623340487,-0.04125979880829482,0.04228822515273716,-0.13268924337682522,0.19181458517286337,-0.1910249145138287,0.2551391149977543,-0.11405758916201718,0.1303269429217593,-0.01654755572995196,0.10184320526778626,-0.06772359525830789,-0.12577257221020652,-0.16068752053270804,0.16324784322228392,0.03102850153833519,0.11950829389835876,0.1780261155645138,-0.11506589365811089,-0.12537811983016608,-0.13639906105761354
2019-05-17,-0.004656876064908247,0.059532026661046046,0.12614783072824465,-0.014197328811072052,0.09673777353439725,-0.058750069344782836,-0.17428651171577553,0.05748954321658162,0.07997662367191527,0.08574052977194482,0.1091399240536033,0.13201130958242777,0.140174590235518,0.05491655797071741,0.07866942607762202,0.10967782019724047,0.11649339872233358,-0.07217085910579643,0.009509382982444697,-0.0008990054393083329,0.03601292919012339,-0.05534173926390524,0.05254909920882477,-0.15145147329735134,0.20914439067275312,-0.17271916416828043,0.2626787275000921,-0.10981997210344446,0.13919044783176665,-0.028406364111770763,0.09279232448923937,-0.08130282300957824,-0.1352493327020495,-0.16966124151327058,0.19973046580120074,0.04878806379740004,0.11715767617971341,0.1921649898504528,-0.10624969858403768,-0.14773880910321807,-0.13757006102080302
2019-05-20,-0.024069034668759225,0.05150674873292732,0.14968205948882057,0.011494004829417113,0.07993428351284435,-0.07317974400367612,-0.18336734009023206,0.04945155020768837,0.06961547542774331,0.060706112547857065,0.08461621536670809,0.10909840406609551,0.11509393231906806,0.030982883411462166,0.054101010010058716,0.08516500443108427,0.09215258944109762,-0.0661403124761951,0.014582439026540023,0.009256149633413027,0.04584022083467675,-0.05266386067327015,0.03281322394120196,-0.14691413951295146,0.19959693463571135,-0.1850235748171586,0.2939654686070544,-0.11249203628620687,0.12560106783225472,-0.03688602841239448,0.10359662259242977,-0.08389250532234446,-0.12319245524605794,-0.16796835897982065,0.1923177637838723,0.03521799993061861,0.11606155688578648,0.18111457172486148,-0.11630008644051697,-0.16759144371087475,-0.11517522051176465
2019-05-21,0.04879262026357325,0.04481645061173358,0.14061619873876366,0.030922905419860085,0.07237558340313668,-0.06376269637754625,-0.09346925794788051,0.042406296081992985,0.04074017106395867,0.1250491541197125,0.14233017335682602,0.16506331757402426,0.16894124991318474,0.09879898675231688,0.11831423952961757,0.14402607589547362,0.14969444781457072,-0.09054596536070347,-0.02104874232210149,-0.008633111948792663,0.019738009703542534,-0.04809936114300925,0.041033321378673486,-0.16906614263317327,0.20784976163025348,-0.2131116353428611,0.2673819069387879,-0.10216653104161356,0.15572458125313696,-0.02835832978428686,0.130573651108005,-0.04736546111984275,-0.1444886607464615,-0.1748040513801751,0.1910113600538149,0.03247851252368792,0.08574255448673206,0.19467708335585124,-0.14879081010148748,-0.14269272831072424,-0.1521087424049361
2019-05-22,-0.03484489425202203,0.019647128303816267,0.2178208813055288,0.13324934388355297,0.26204297020587897,-0.10300036476932577,-0.158083045486908,0.016452769159392564,0.026466686072745,0.038908587145408915,0.05597331752826272,0.08635012039286107,0.08524631441126149,0.012646474679885028,0.03201465837015563,0.05969237313355216,0.06632543943050365,-0.12324687927811928,-0.05555260610794103,-0.01324001551027816,0.03132803247644608,-0.03423493241103573,0.03085762913838589,-0.14230815966920807,0.19825267762920507,-0.21948557263911866,0.23187891651507667,-0.12268285611809514,0.14728613564320786,-0.04677367355556864,0.12453234764395608,-0.08891213263911521,-0.12482547339254312,-0.1240972961865703,0.19653487577513123,0.014371454614192971,0.05697995432252714,0.17888514401656508,-0.1667310253274447,-0.12284064534705501,-0.06655968238577176
2019-05-23,-0.037559360586934175,-0.016569432802868326,0.21398487412401868,0.15077811481326847,0.3316152177839871,-0.13526546940049336,-0.13806872172823031,-0.01892990447600627,-0.008926993167353608,0.040290367091433556,0.054685822760300706,0.08530266216139101,0.08217879416374597,0.01463830306871055,0.03265550313666681,0.05844001651151408,0.06469389335001219,-0.15757716783011205,-0.09779817795170716,-0.04832265689139078,0.005785490687685533,-0.03574673615208445,0.021569238876182575,-0.12404617791084242,0.21319562814159504,-0.19629419040443308,0.22021883767447467,-0.09330923716245805,0.12231741522142936,-0.04265074318653329,0.11137333346377905,-0.08269549950635936,-0.1108090063142186,-0.11650622091185668,0.19478025812842784,0.024391682583010298,0.07442593118862073,0.17682868172895858,-0.13974338054594063,-0.1300070249121578,-0.05066293816449541
2019-05-24,0.062272261462661106,0.018410225419603278,0.21166068013317335,0.10172578296218734,0.196832584588493,-0.0735615218052229,-0.05939104617336355,0.015787291593388077,-0.013194688763041956,0.11697128314850586,0.13466813327223648,0.16151169162329207,0.15925672938518182,0.09763208246622124,0.11416131419913865,0.13811721831745172,0.14380645028474653,-0.12483986032560239,-0.04935550289841353,-0.005096338561766217,0.019994425766037268,-0.07544624658326661,0.015490143322096323,-0.14675614289978542,0.19109354986680552,-0.22549957099743864,0.17176892990459217,-0.0859915957317344,0.09920804058229596,-0.07347925940027956,0.11797599583808428,-0.07088902394216585,-0.09008331621880118,-0.11298879166095156,0.17297769275822553,-0.01801201750959607,0.05204099325908588,0.13903960818001762,-0.15959852830468965,-0.10700638757826175,-0.1586645780730122
2019-05-28,0.06133755083678055,-0.020043004435974798,0.24290697142925374,0.11611769067261585,0.1899439669165337,-0.023907946265239826,-0.05638742540694978,-0.023607127112137742,-0.03995433789476224,0.1172487681399741,0.1374615138855792,0.16563190146378629,0.16349004454234167,0.10095463412268135,0.11767395760973637,0.14268321400849532,0.14872842189739163,-0.10376761808556104,-0.015949093767794516,0.04248899922839507,0.056243984924974046,-0.05173213004108199,0.010030118943774282,-0.11704170041092656,0.17503184886891798,-0.22046373464551322,0.15869322036723857,-0.11161527831490853,0.08633884598476597,-0.06805375370232102,0.11149057696191636,-0.05568946989545785,-0.07960185233568866,-0.08300491873733293,0.12790954221605783,-0.036848406072109235,0.054861684522526516,0.12841263855052035,-0.14837963500223186,-0.0922956249663423,-0.16756260228807868
2019-05-29,0.07840502981346532,-0.0346686761749575,0.27907079317152766,0.13292936790727233,0.1758582760867715,0.03504070670691157,-0.032522336467972375,-0.03813623819434981,-0.04933342521822973,0.14039475895060796,0.1620019996468194,0.19131761368310382,0.18656823645960025,0.12548528542267148,0.14262783136910434,0.16811726984263312,0.17423251887956417,-0.08856638571768678,0.004461823655369943,0.07304603821598482,0.07886355203580918,-0.031596685320581054,0.0030439300091123795,-0.11677512341575713,0.19560924866457804,-0.22742812352134523,0.1593625411172072,-0.09828054653025152,0.08778334838885207,-0.08049108758889635,0.12512763838832697,-0.0564886486851852,-0.08421061159775797,-0.0801597126474642,0.11297118460714746,-0.0309157579289776,0.05312982447149683,0.14363619827515153,-0.156761594681543,-0.11600084557858531,-0.18910922271990016
2019-05-30,0.08683897486494349,-0.03157325300631494,0.28470562347952943,0.1310706347137636,0.16887057616734769,0.037194783420745614,-0.01703397799729258,-0.03517759342674639,-0.04617302935819584,0.14624092803317554,0.16710903468340468,0.19596393486054728,0.19111009648392085,0.13188369810117737,0.14840014393933162,0.17316752271634572,0.1791580007942835,-0.08333468230067735,0.006267932417094521,0.07508775230053191,0.08090568134859762,-0.028613036662386137,0.0019822666223605137,-0.1257375327887793,0.18419379478506986,-0.2284403550779051,0.16092251703977836,-0.07693379011972715,0.08117682364963898,-0.0758792647555486,0.12763703265070023,-0.044469936325376054,-0.08540927433103564,-0.08313005521161852,0.10758668585734991,-0.03752352283052995,0.04148075254755774,0.1358026506392714,-0.1600652001148784,-0.11814300986703893,-0.19271289018119594
2019-05-31,0.11526936491829433,-0.02623153293426204,0.29486781498266984,0.1362830129677994,0.17101093720204613,0.039438642512207564,0.021406391094585225,-0.030112276842316918,-0.04037655408211126,0.17441811501339793,0.19431386118919916,0.220305338437292,0.21531230411038985,0.15993327815666153,0.17571817839618764,0.19881050554455046,0.2042802210025749,-0.07009429796640715,0.016700166178641132,0.08193551657704273,0.08921808492776118,0.003693384371838405,0.009315680067200625,-0.09505918167723126,0.14397321500489413,-0.1888249302559611,0.16554730454910427,-0.014525650775013978,0.02357612507951843,-0.07615283990484095,0.10871026915376353,-0.0037297023158398323,-0.03206954730187725,-0.05394872762340592,0.0973827096421365,-0.07874238892413299,0.05819811378552277,0.09345022005384494,-0.09931022518756828,-0.13800896684882644,-0.20454940390658768
2019-06-03,-0.02399923984461901,-0.07777532799524728,0.2072641399046826,0.07144951646015575,0.17495125325222236,0.07768706203096892,-0.10279473862786354,-0.08116502377023369,-0.14055599664541318,0.006659435834451261,0.02079778922847607,0.053606756691118716,0.050399237307433495,0.0018138107075632718,0.012580220014865754,0.03327611447145869,0.03939318972926521,-0.05831701749683736,0.00875084812506529,0.07372280858329311,0.07255691452178471,-0.03159044014529536,0.03244860889927371,-0.09431659470822804,0.16274369807643002,-0.17563811081907063,0.2410319535963571,-0.035144988018532004,0.1248769363879103,-0.1765124962639928,0.09240025014514798,-0.0736143806304595,-0.11177349313440345,-0.2188357562516977,0.15986010300681996,-0.04555923919660099,0.021504516043308625,0.13901142329335475,-0.05783539598270802,-0.21135492126583175,-0.04674512380983811
