Date,price_TSLA,ret_TSLA,vol8_TSLA,vol12_TSLA,vol24_TSLA,vol30_TSLA,macd_TSLA,log_ret_TSLA,log_ret_norm5_TSLA,sma8_TSLA,sma12_TSLA,sma24_TSLA,sma30_TSLA,ema8_TSLA,ema12_TSLA,ema24_TSLA,ema30_TSLA,volume_zscore8_TSLA,volume_zscore12_TSLA,volume_zscore24_TSLA,volume_zscore30_TSLA,^N225,HG=F,ZC=F,TLT,^GSPC,AUDUSD=X,CL=F,SHY,BRL=X,^VIX,NG=F,^FVX,UUP,SI=F,TIP,^IRX,IEF,HYG,day_of_week,month
2019-11-13,0.007989883303941259,0.18919234852602762,-0.04005652364676438,0.01871720649775544,0.02899577398429449,-0.029825788785041316,-0.0022453548831406216,0.17793557447062647,0.1261029555812146,0.04340037253848216,0.04397385944984781,0.05237877749352891,0.06617965740649089,0.02116680164000071,0.030165895173605635,0.04203476677136006,0.04479374175160165,0.11613855426943104,0.06449919648385606,0.09706329489184828,0.12321811391193532,0.020734985895803307,0.1599461691968867,0.07074813557284026,-0.043836626845666284,0.14958523675332355,0.10559620181288104,0.20953319531995068,-0.14553948601948297,-0.09360391065164127,-0.20855013369477646,0.02651841992514946,0.13634746113334242,0.09572938391861427,-0.16277209092362327,-0.009200504750460976,0.08610456442350321,-0.09500661024119603,0.1635497243230876,0.0729405435297537,0.1106443812301888
2019-11-14,0.006509887182340188,0.18947561437317334,-0.03955706920494492,0.018280062216573616,0.029358580205534855,-0.029228214039310918,-0.0035797615890096096,0.17817929355321405,0.1261203090866143,0.04043788695291049,0.0408317310880768,0.04810856764641643,0.06109897080378779,0.01913779476325316,0.02766421734450069,0.03870882499718778,0.041226114514123106,0.11760665888104303,0.06641550757963727,0.09682968902967598,0.12287441824885259,0.019880679755795473,0.1596662542931572,0.07148535680780303,-0.0442542507281905,0.15191254121300482,0.10677913473587408,0.20930102466884,-0.14703267252563107,-0.09490353882111474,-0.21365438011598384,0.025449498555302832,0.1363232424891395,0.09616785393133163,-0.16258978098277285,-0.009565528377344533,0.08875640002108356,-0.0946023876234321,0.17067023902285872,0.0725747172724351,0.10907559578202614
2019-11-15,-0.03758627418193955,0.1920575662462724,-0.029036649461229948,0.02130620184681634,0.03904626745421646,-0.024689189558116473,-0.0515031471049239,0.18077854898709042,0.1301521784874746,-0.004512041966752127,-0.0012924169401512327,0.010229653275815927,0.028301895752639628,-0.02496214197428966,-0.015760665804235408,-0.0030919016113135907,-0.00027621471762614324,0.1327148632952394,0.08907172657994288,0.09507944355035652,0.11982318674669455,0.009128711588227766,0.12606902966863817,0.08218605386636905,-0.06423997612761499,0.14141908474752538,0.13067678516469994,0.20137378568155034,-0.16492110394006107,-0.13216183995944544,-0.18411347989508278,0.011317351292111397,0.1496102580986512,0.09546165133469285,-0.17544610720847803,-0.014603254202587948,0.1077699632728656,-0.11093853230526662,0.18590096443680984,0.08252988502180274,0.047188419959147035
2019-11-18,-0.013555765455120111,0.1992175542153812,-0.03813868057785347,0.00973846440393241,0.04784802511870576,-0.017731872544143667,-0.029238033902815243,0.18857446306143827,0.1291639086226359,0.0212670691249704,0.02436488909046248,0.03763176422959295,0.054009207096895724,0.001075421006143771,0.010697041964140445,0.023991544476122395,0.026998401727569944,0.11900955637180041,0.0728712680795377,0.08701354790586863,0.11151727354900656,0.011533230344248782,0.12448331524576335,0.07856217159407435,-0.07121694769467382,0.17702147033343704,0.14465278560449638,0.20076875970531666,-0.1725081599198592,-0.14034540604727014,-0.20480632618797678,-0.006651806941652177,0.15462140546438913,0.1000110302800307,-0.18110365878892026,-0.016563737761821164,0.11151070598826901,-0.11623625366099485,0.19630059371136468,0.06304172885130273,0.06955638723554561
2019-11-19,-0.05191523634813284,0.19096750335564872,-0.0254355722828037,0.026874140097444106,0.03254444863018089,-0.028813774048466897,-0.06328235862105011,0.18008974897907795,0.11049492070808876,-0.02009989670961113,-0.017729726141440357,-0.009581370507239713,0.0061093931066431885,-0.039188971383977714,-0.03093103719772706,-0.020115780654444675,-0.01785322820064088,0.10460119804128351,0.06823488250667734,0.08709950490814887,0.11111353914600541,0.005249852418708993,0.10555403328051076,0.07060286004251475,-0.08778163960790925,0.19425841727911677,0.14195791223188903,0.21357373240441713,-0.1735412116414227,-0.14004215080034055,-0.21470844703529746,0.01779299911119165,0.15810080076580735,0.10971608687702591,-0.18177776343083246,-0.02881803608980614,0.11420654113291218,-0.124972373608308,0.2436891445760574,0.06457398789837043,0.034716566578514914
2019-11-20,-0.05361658066201783,0.1902282311112112,-0.02501656833833371,0.027338578923359915,0.03180507552597656,-0.028983709181863125,-0.06554487919359754,0.17935418532791017,0.1098771234413405,-0.022039450934142498,-0.01966340872781585,-0.011702077175852392,0.003285197465353328,-0.04065017663414266,-0.0324767487175281,-0.021836597282438336,-0.01962703588326431,0.10443561625918332,0.06811500956852466,0.08700209278819249,0.11103782074896298,0.007104407778386256,0.10576575798269484,0.07059690053694498,-0.08828587834759503,0.19397697793988244,0.1498752670044143,0.21192427360600785,-0.17337853690895272,-0.13860372065790677,-0.21534399928838585,0.0167024157207592,0.158022618636936,0.10954472711849414,-0.18486795105743406,-0.028512517793209485,0.1151761731750777,-0.12501768437489208,0.24194934593209017,0.06420539827317581,0.032413010614057415
2019-11-21,-0.10019742001611934,0.1860030226149115,0.003763935753624586,0.05950333268053774,-0.005146923728206209,-0.0648364921259767,-0.09779256228647935,0.1748475482908685,0.09023998073027538,-0.08148615443541563,-0.08426993918221948,-0.0911658721121245,-0.081445190373039,-0.09763158546160144,-0.09401732537533378,-0.0916276289530183,-0.09175211919219257,0.12441786732636125,0.09743014012392912,0.12066183746888029,0.13689333447013255,0.041651384485991504,0.13474058589755544,0.04805910208964744,-0.06622711431333204,0.19560218324606155,0.18688966067328544,0.16622854349309207,-0.14914470120751325,-0.12766374650683027,-0.21978089840371554,0.007425097252616472,0.14170840568411727,0.08029466646821805,-0.18121043587026078,-0.00984811164904577,0.08328003614332988,-0.10200121940786094,0.22203449682584875,0.038501680184201234,0.005539083615057398
2019-11-22,-0.09251712358465555,0.17421441611131938,0.0049373112434260066,0.05909995321428185,0.00051417002267858,-0.06463664836460505,-0.08954131489040094,0.16240065010291455,0.0813709774748965,-0.0715207046969766,-0.07366977176396629,-0.07930872892122652,-0.07044725325153814,-0.0875683056554053,-0.08360903675637232,-0.0806799826092034,-0.080625947708972,0.12246982097624183,0.09862543055324255,0.12493439700767113,0.14077544694534092,0.0441063249131483,0.13370913003799917,0.05129623066798355,-0.06428466953676082,0.19199900153575197,0.190020149706215,0.1626286497439884,-0.14682817535460116,-0.1380829483668187,-0.21616171716459737,0.005606453176453406,0.13898054846324928,0.07677736656793686,-0.17977126594231757,-0.011006223171926776,0.08262256240015593,-0.09998739499549143,0.21623862239280806,0.036447277401113753,0.01933005433333264
2019-11-25,-0.1154627899205871,0.17372853013073722,0.004958936769617644,0.06278586303670913,-0.024220650580872437,-0.07893578952152441,-0.10988742265751457,0.16183348460093605,0.07389509772837356,-0.10177584224643389,-0.10569139993130425,-0.11468895408051565,-0.10588772555049437,-0.11642726611390802,-0.11401080820477756,-0.11325715911953571,-0.11375625631205465,0.11510614225934254,0.08963643058530754,0.13098469846263713,0.1387007434588048,0.03921217091914081,0.12999822532643585,0.045186644284064575,-0.06914593989169314,0.17405233305136453,0.18718097783142593,0.15624315446772988,-0.14596285673104645,-0.13867971552357375,-0.2036383208884672,0.03369651431934489,0.14064228182700206,0.08046213430031256,-0.1732078694401131,-0.023716549996944263,0.07703477433425196,-0.1014046069057,0.19272072800060094,0.06349774753837045,-0.01156827259927209
2019-11-26,-0.1311826519586893,0.16986327633469214,0.001181013309021806,0.056517692229044916,-0.03640765669496654,-0.07329052384535806,-0.13105801759184313,0.15800038244696318,0.06321781825952175,-0.11649514212946042,-0.11851912539259461,-0.1223087214624547,-0.1121075931165095,-0.1308453178264577,-0.127329168247355,-0.12400564485517752,-0.12369727129895731,0.11142565144745638,0.08656143205677358,0.124889862711567,0.13213237754732457,0.02843632015942985,0.11866729039614783,0.02459384763221547,-0.0663843588251266,0.16008724977045805,0.1761059281937623,0.146659940647602,-0.13515277921371371,-0.1315938385990603,-0.1962676142193826,0.049560433564021025,0.1268423756351783,0.09214124922651969,-0.1456319783532969,-0.0289017453512739,0.0690360553335218,-0.09360991544386241,0.17721129406779945,0.05455675660235303,-0.027623224812382094
