date,y_value
2016-02-02,0.08325098465518734
2016-02-03,0.043798908962592475
2016-02-04,0.02513990965596442
2016-02-05,0.026423387160101845
2016-02-08,0.026435680558665332
2016-02-09,0.027122118810878358
2016-02-10,0.02767192999182832
2016-02-11,0.026455494682168117
2016-02-12,0.025727630352377694
2016-02-16,0.024702362720351458
2016-02-17,0.025393881153407984
2016-02-18,0.025270566185153172
2016-02-19,0.02445465939931371
2016-02-22,0.0250579301712445
2016-02-23,0.02489381132379548
2016-02-24,0.024300884351841606
2016-02-25,0.02506399312469127
2016-02-26,0.025845130756867972
2016-02-29,0.02428497796143153
2016-03-01,0.02450329934865907
2016-03-02,0.024280393233953822
2016-03-03,0.021904448739999208
2016-03-04,0.02269048297011294
2016-03-07,0.027810214458329933
2016-03-08,0.027619939300471012
2016-03-09,0.02765824822998077
2016-03-10,0.027261598526896233
2016-03-11,0.02812456315014601
2016-03-14,0.028313175648697914
2016-03-15,0.02790744483214547
2016-03-16,0.028258874283016752
2016-03-17,0.02777517275247525
2016-03-18,0.027964954502934958
2016-03-21,0.027633772949968567
2016-03-22,0.02724111033843071
2016-03-23,0.027144621240700252
2016-03-24,0.027183024710270325
2016-03-28,0.026716919504872528
2016-03-29,0.029718574598095442
2016-03-30,0.02997525293260579
2016-03-31,0.030062595318728846
2016-04-01,0.029784276644951386
2016-04-04,0.03890913669232648
2016-04-05,0.0426746525540323
2016-04-06,0.04357872159297655
2016-04-07,0.04345898312638436
2016-04-08,0.04432966476720226
2016-04-11,0.043731943139076856
2016-04-12,0.042668137638048574
2016-04-13,0.04277014738545429
2016-04-14,0.04338938819845813
2016-04-15,0.042565819917439275
2016-04-18,0.0429192691802644
2016-04-19,0.037918287164971885
2016-04-20,0.0318329640121948
2016-04-21,0.03211875244672421
2016-04-22,0.032892293363669056
2016-04-25,0.03321942174404527
2016-04-26,0.03326720320011684
2016-04-27,0.03397477777886161
2016-04-28,0.03396170102649681
2016-04-29,0.01800684627829716
2016-05-02,0.014779371831592237
2016-05-03,0.015187787456259087
2016-05-04,0.015607064536780093
2016-05-05,0.015462361224318141
2016-05-06,0.01570664479610473
2016-05-09,0.01484393788341951
2016-05-10,0.019117595123975577
2016-05-11,0.025108057743090245
2016-05-12,0.027002130626176887
2016-05-13,0.02891185238172368
2016-05-16,0.029653117144134645
2016-05-17,0.030241142011634872
2016-05-18,0.030847622866039495
2016-05-19,0.030649077682709584
2016-05-20,0.03043812925325659
2016-05-23,0.03041990487044722
2016-05-24,0.052958541056599494
2016-05-25,0.07200520129762945
2016-05-26,0.07279850633347719
2016-05-27,0.07372120596503291
2016-05-31,0.07376879143830765
2016-06-01,0.07359684866501774
2016-06-02,0.0733183668587851
2016-06-03,0.0732918362992446
2016-06-06,0.07349776001175262
2016-06-07,0.07246372088551488
2016-06-08,0.07110807028696262
2016-06-09,0.07204328232394115
2016-06-10,0.07226446409567523
2016-06-13,0.07267357512242201
2016-06-14,0.07270802955822984
2016-06-15,0.07247040053660492
2016-06-16,0.07284714346675289
2016-06-17,0.07292723532869508
2016-06-20,0.07246492709613496
2016-06-21,0.07315046029308922
2016-06-22,0.022731237543255345
2016-06-23,0.01213491407354183
2016-06-24,0.01295796330837801
2016-06-27,0.012130595679597195
2016-06-28,0.011098612266671165
2016-06-29,0.010757620741670103
2016-06-30,0.011270168146421167
2016-07-01,0.011690293295921873
2016-07-05,0.011691394858329205
2016-07-06,0.011905301328995952
2016-07-07,0.011139092547727257
2016-07-08,0.010927233471117516
2016-07-11,0.010441744947328123
2016-07-12,0.010694029893821413
2016-07-13,0.010587371487927849
2016-07-14,0.01075428090433069
2016-07-15,0.01047083799306189
2016-07-18,0.010383243814714503
2016-07-19,0.01006008663385703
2016-07-20,0.010261139507950035
2016-07-21,0.00998196475582441
2016-07-22,0.010280263030372955
2016-07-25,0.009920355317327927
2016-07-26,0.013873399212252854
2016-07-27,0.013895205794464151
2016-07-28,0.014084183723564984
2016-07-29,0.014024015838780388
2016-08-01,0.014655626363849815
2016-08-02,0.01511216456477077
2016-08-03,0.014912868180087333
2016-08-04,0.014684900414092135
2016-08-05,0.014522598837821692
2016-08-08,0.014484332202243084
2016-08-09,0.04251242776719564
2016-08-10,0.04289451654157293
2016-08-11,0.042145415829945646
2016-08-12,0.0411581199944001
2016-08-15,0.04200923606058717
2016-08-16,0.04203724190290659
2016-08-17,0.0419743463829629
2016-08-18,0.04203867549364883
2016-08-19,0.042815096166862965
2016-08-22,0.03858317694676772
2016-08-23,0.038659676745802625
2016-08-24,0.03843271480915698
2016-08-25,0.03896225062466917
2016-08-26,0.03774494764912439
2016-08-29,0.03766234949858781
2016-08-30,0.0383426633248885
2016-08-31,0.038208021549315754
2016-09-01,0.0380383596254462
2016-09-02,0.035347788894494976
2016-09-06,0.03540062958442609
2016-09-07,0.01772980100657651
2016-09-08,0.019238884405424393
2016-09-09,0.018018088766362142
2016-09-12,0.020153850611377852
2016-09-13,0.027979705169228992
2016-09-14,0.027393051081515303
2016-09-15,0.03232392663765196
2016-09-16,0.032890442827566944
2016-09-19,0.03304217903583678
2016-09-20,0.03227238843692734
2016-09-21,0.032184486785363536
2016-09-22,0.03297612319404428
2016-09-23,0.033137006474538946
2016-09-26,0.032314413046756016
2016-09-27,0.03164622912729552
2016-09-28,0.03153936145196896
2016-09-29,0.030973401358433603
2016-09-30,0.04092594922429281
2016-10-03,0.04715882353838754
2016-10-04,0.049683331606957794
2016-10-05,0.05577972149796724
2016-10-06,0.0571466616531381
2016-10-07,0.057040152798839026
