Date,ret_JPM,price_JPM,logret_JPM,rollret_14_JPM,rollret_21_JPM,rollret_69_JPM,sma_14_JPM,sma_21_JPM,sma_69_JPM,ema_14_JPM,ema_21_JPM,ema_69_JPM,momentum_14_JPM,momentum_21_JPM,momentum_69_JPM,macd_JPM,pricevshigh_14_JPM,pricevshigh_21_JPM,pricevshigh_69_JPM,vol_14_JPM,vol_21_JPM,vol_69_JPM,atr_14_JPM,atr_21_JPM,atr_69_JPM,range_JPM,volchange_14_JPM,volchange_21_JPM,volchange_69_JPM,volptile_14_JPM,volptile_21_JPM,volptile_69_JPM,zscore_14_JPM,zscore_21_JPM,zscore_69_JPM,rsi_14_JPM,rsi_21_JPM,rsi_69_JPM,cmo_14_JPM,cmo_21_JPM,cmo_69_JPM,williams_14_JPM,williams_21_JPM,williams_69_JPM,stoch_14_JPM,stoch_21_JPM,stoch_69_JPM,ptile_rank_14_JPM,ptile_rank_21_JPM,ptile_rank_69_JPM
2017-02-01,0.0037811730973111857,67.42428588867188,0.0037740424315172725,-0.02446004093157983,-0.010081836441148129,0.24718979818876385,67.52917044503349,67.90730721609933,63.98898752184882,67.74373671224842,67.62972233725394,64.19738986775083,-0.02446004093157983,-0.010081836441148129,0.24718979818876385,0.3125984324771167,0.9772232085737503,0.9755399590670087,0.9755399590670087,0.01343680594937663,0.011522486792546296,0.01310538087324058,1.165596516952736,1.1051319808360178,1.0928386907931738,0.016715694172518673,-0.011276294830936617,-0.0015198278202424031,1.015243622681794e-05,0.9285714285714286,0.9523809523809523,1.0,-0.09932941053552473,-0.4701373776150777,0.6683990605853013,40.92077227561789,47.036023478035375,67.51303059835152,-18.158455436262162,-5.927953026824013,35.02606122103114,0.5454559898547268,0.5634928909644261,0.10816008653362519,37.35396063680501,37.35396063680501,84.59485662138529,0.5714285714285714,0.38095238095238093,0.6521739130434783
2017-02-02,-0.004237654450906403,67.13856506347656,-0.004246658755620523,-0.019132410090245577,-0.024899237580797706,0.2350524729719563,67.43562916346959,67.82566978817894,64.17417106075564,67.66304715907884,67.58507167600145,64.2814234447843,-0.019132410090245577,-0.024899237580797706,0.2350524729719563,0.2407092268796589,0.9730820742944088,0.9714059578174314,0.9714059578174314,0.013266902843943586,0.011249606289626346,0.013133507221237102,1.1395169647203685,1.0680845157053458,1.0955197058826527,0.008866296636342889,-0.012644605129608744,-0.023682431391153558,0.002146167919007347,0.8571428571428571,0.9047619047619048,1.0,-0.2895835185156396,-0.6759102258517797,0.590952467523577,42.666735015889,42.29666947433945,66.7517526868375,-14.666529954678118,-15.406661035218127,33.50350539774071,0.6446273988267605,0.6587290486591052,0.12644026579153309,30.350313432130303,30.350313432130303,82.8726058540904,0.42857142857142855,0.2857142857142857,0.5942028985507246
2017-02-03,0.030618116892458636,69.19422149658203,0.030158735733277642,0.005536121103051128,0.0031065092356905577,0.2741626836607005,67.4628404889788,67.83587392171223,64.38994758716528,67.8672037374126,67.73135802332695,64.42178910342774,0.005536121103051128,0.0031065092356905577,0.2741626836607005,0.3456266390737852,0.9999999999985547,0.9999999999985547,0.9999999999985547,0.015730991984643002,0.01321223074817144,0.013532088394929845,1.1763661225087898,1.1414061449034048,1.1205153964964962,0.016517490329994243,0.18573205590514186,0.1744616129681711,0.030348418512933906,1.0,1.0,1.0,1.6191459072826082,1.3191450015142148,0.9795580806796039,51.79366445977111,50.82063007164206,68.54642163952704,3.587328933164584,1.6412601596198038,37.09284330252848,0.0,0.0,0.0,96.96267805747048,80.73898363721308,95.26356778971568,1.0,1.0,1.0
2017-02-06,-0.00470261345123868,68.86882781982422,-0.0047137055260298415,0.03854003425990471,0.007665121325815427,0.2621169109844941,67.64539119175502,67.86082022530692,64.59723315031633,68.00075361506748,67.83476436846307,64.54884735248581,0.03854003425990471,0.007665121325815427,0.2621169109844941,0.3979307953355118,0.9952973865473229,0.9952973865473229,0.9952973865473229,0.011817187885180724,0.013087381014995715,0.013568079818836112,1.0300985798573095,1.103233199425667,1.1201109778053435,0.009680723411167016,-0.24879575956068345,-0.00944955742564546,0.0026597094887255146,0.42857142857142855,0.9523809523809523,1.0,1.1369465204243367,0.961072386050664,0.8928927236446741,65.13183927049616,52.054941277533224,67.78784058093075,30.263678562229376,4.1098825721862315,35.57568118504139,0.10566398604347223,0.10566398604347223,0.020713214496495755,84.61546051041124,72.76286739477311,93.3021793991916,0.8571428571428571,0.8571428571428571,0.9420289855072463
2017-02-07,-0.0005762855504872766,68.82913970947266,-0.0005764516668284907,0.03311909202146279,0.006967176473043901,0.25956716699437155,67.80299704415458,67.88349769228981,64.80279933542445,68.1112050943215,67.92516212673667,64.67114141984527,0.03311909202146279,0.006967176473043901,0.25956716699437155,0.4312090081582909,0.994723811045018,0.994723811045018,0.994723811045018,0.011835472906397328,0.013089125075782394,0.013574698940261887,1.0142243517035163,1.1123039109885169,1.1230290893504624,0.010608834824651112,0.0015473242360422024,0.0001332627807413278,0.00048784511251076523,0.42857142857142855,0.9523809523809523,1.0,0.9533619536070231,0.8879005717827576,0.8653185662479691,63.49537286548355,51.863408171605826,67.65753871059124,26.9907457523847,3.7268163602289537,35.31507744434091,0.11855177163311215,0.11855177163311215,0.023239595312692027,83.14078154778191,71.79002433045488,93.06294979995347,0.7142857142857143,0.7619047619047619,0.8985507246376812
2017-02-08,-0.00876388186406074,68.2259292602539,-0.008802510533725218,0.031932702707786476,-0.0025525927806407944,0.25069671114298675,67.95379856654576,67.87518346877326,65.00099629941194,68.12650164977916,67.95250459342006,64.7727067867278,0.031932702707786476,-0.0025525927806407944,0.25069671114298675,0.4042482671768113,0.9860061690776512,0.9860061690776512,0.9860061690776512,0.011913342000874263,0.013240788612942403,0.013640326155755883,1.0028861359853138,1.1160834237180077,1.1262031929274499,0.01093525851584301,0.006579297261104289,0.011586988150997124,0.004834524565355158,0.42857142857142855,1.0,1.0,0.2824106185788132,0.3304343409836987,0.7168778031441222,62.764000528123546,49.34528648410272,66.81170953949288,25.528001077188065,-1.3094270162417225,33.623419101571855,0.3475712787187884,0.3144302568040638,0.06163747552256167,64.85860815658259,57.004006637787285,89.42695421476247,0.5,0.47619047619047616,0.6811594202898551
2017-02-09,0.014425258056771417,69.2101058959961,0.014322203894751964,0.04218996322955837,0.00890917889214382,0.26599025823934475,68.15392466953823,67.90428633916946,65.21174057670261,68.27098221594142,68.06683198456334,64.8994896184378,0.04218996322955837,0.00890917889214382,0.26599025823934475,0.45702817874993684,0.999999999998555,0.999999999998555,0.999999999998555,0.012341657247303713,0.013602557551685976,0.013704531690846575,1.049940962156379,1.1232645681799658,1.1365853174155156,0.01571104122163244,0.035952568674517904,0.02732231057521428,0.0047070381131317784,0.42857142857142855,1.0,1.0,1.164176553069098,1.1976789171326785,0.920130827744796,65.63352219697336,52.16420579090622,67.50343393078157,31.26704441410652,4.328411597298358,35.00686788390493,0.0,0.0,0.0,94.10351155330319,81.12834527887216,95.35931481501629,1.0,1.0,1.0
2017-02-10,-0.0022934447385644097,69.05137634277344,-0.0022960787109662303,0.039302809367836034,-0.0009182008649942786,0.26839771540750346,68.34044483729771,67.90126437232608,65.4235018854556,68.37503476618568,68.15633601712788,65.01811495343392,0.039302809367836034,-0.0009182008649942786,0.26839771540750346,0.48050947640628294,0.9977065552599941,0.9977065552599941,0.9977065552599941,0.012407728600733609,0.013518018632168538,0.013690768544342325,1.03860266888674,1.1013437382936861,1.12678476173022,0.00678165479637129,0.005353523607563249,-0.006214928273320153,-0.0010042770387727051,0.42857142857142855,0.9523809523809523,0.9855072463768116,0.901703484650012,1.0582054417026208,0.8710263881820874,64.36706436831409,49.769442441160926,67.61766705008537,28.734128756143967,-0.46111510248638277,35.23533412258781,0.07662390753936409,0.05127920733345133,0.010093860041446539,87.75507348699811,77.2375340614287,94.40253438207718,0.8571428571428571,0.9047619047619048,0.9565217391304348
2017-02-13,0.013218201195885237,69.964111328125,0.013131603054190265,0.04048625349038004,0.022147691028446825,0.29059023199726,68.53489957536969,67.97345334007626,65.65180869724439,68.58691164111092,68.32067922721853,65.15942913558543,0.04048625349038004,0.022147691028446825,0.29059023199726,0.5662413810778304,0.9999999999985707,0.9999999999985707,0.9999999999985707,0.01247735400895165,0.01361895932499751,0.013706431070080412,1.0556091211819845,1.1198625147982162,1.1358175070447405,0.014861004377944268,0.00561145480035119,0.007467121889354722,0.0011440209282158609,0.42857142857142855,1.0,1.0,1.7195251720487004,1.6985117704043096,1.0866272532487258,64.79736386265134,55.41084351807524,68.68604441156195,29.594727744704436,10.821687052686242,37.372088845522015,0.0,0.0,0.0,87.31191890272108,89.66732036142646,97.25227938163215,1.0,1.0,1.0
2017-02-14,0.015995488060633667,71.08322143554688,0.015868908261226305,0.041032015045712855,0.03298722367069007,0.3169868248592922,68.73502295357841,68.08154660179501,65.89976650735606,68.91975294703572,68.57181942797565,65.32868034417609,0.041032015045712855,0.03298722367069007,0.3169868248592922,0.7162310997905905,0.9999999999985931,0.9999999999985931,0.9999999999985931,0.012519313320833423,0.01397741948282583,0.013747236831619795,1.063545159170294,1.1017208063014254,1.1430105917701892,0.017753420960603936,0.003362837333273472,0.02632067173960695,0.002977125214488341,0.5,1.0,1.0,2.1970719285712996,2.2313815905000904,1.379672744261866,65.09846970097638,57.688205043670706,69.87832458860743,30.196939421272912,15.376410103649711,39.75664919953054,0.0,0.0,0.0,97.50447140239196,97.90106117050665,99.37590024839169,1.0,1.0,1.0
