Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,ADBE_volume,AMZN_volume,AVGO_volume,CAT_volume,COST_volume,JPM_volume,LLY_volume,MA_volume,MSFT_volume,NVDA_volume,UNH_volume,XOM_volume,^GSPC,^N225,CL=F,SI=F,NG=F,HG=F,ZC=F,^FVX,^IRX,TLT,IEF,SHY,TIP,UUP,^VIX,HYG,BRL=X,AUDUSD=X
2023-02-16,365.1600036621094,98.1500015258789,57.62681579589844,236.88189697265625,486.0223388671875,133.3328399658203,320.61846923828125,362.2086486816406,257.572998046875,21.98246192932129,467.3907775878906,107.09729766845703,2917000,56339200,17449000,1934900,1456000,8165300,3654200,2792700,29603600,412026000,2611500,11360600,4090.409912109375,27696.439453125,78.48999786376953,21.68400001525879,2.3889999389648438,4.165500164031982,676.0,4.047999858856201,4.664999961853027,92.54544830322266,88.60076904296875,74.36771392822266,99.99862670898438,25.28187370300293,20.170000076293945,64.63800048828125,5.2179999351501465,0.690689742565155
2023-02-17,356.8500061035156,97.19999694824219,57.15182113647461,238.1022186279297,489.2811584472656,133.7277069091797,322.9095764160156,355.8819274902344,253.55442810058594,21.36900520324707,478.6404113769531,102.97923278808594,2985700,60029400,14215000,3759300,1340400,7948800,3695600,2718900,30000100,465888000,3891500,20758300,4079.090087890625,27513.130859375,76.33999633789062,21.694000244140625,2.2750000953674316,4.113999843597412,677.75,4.035999774932861,4.679999828338623,93.26510620117188,88.84959411621094,74.43186950683594,100.1944351196289,25.263885498046875,20.020000457763672,64.89041137695312,5.216800212860107,0.6862400770187378
2023-02-21,346.70001220703125,94.58000183105469,55.80360794067383,231.29904174804688,483.7469482421875,131.27391052246094,322.034423828125,350.78704833984375,248.258544921875,20.636655807495117,471.1885986328125,102.87743377685547,3002700,56580400,22737000,3105900,1811800,9996300,2515600,2730900,28397400,410015000,2877300,14469400,3997.340087890625,27473.099609375,76.16000366210938,21.868999481201172,2.072999954223633,4.234499931335449,680.5,4.175000190734863,4.688000202178955,91.45228576660156,87.88194274902344,74.28518676757812,99.74683380126953,25.344831466674805,22.8700008392334,63.889564514160156,5.1666998863220215,0.6909002065658569
2023-02-22,348.7200012207031,95.79000091552734,55.28831481933594,228.5892791748047,479.5530090332031,130.2679443359375,323.568359375,349.8114929199219,247.11878967285156,20.73556900024414,468.86773681640625,101.54484558105469,2599300,59534100,23475000,3145200,1332000,11107500,2379800,2109300,22491100,513184000,2982800,13973800,3991.050048828125,27104.3203125,73.94999694824219,21.660999298095703,2.1740000247955322,4.202499866485596,674.0,4.151000022888184,4.695000171661377,92.29035949707031,88.0385971069336,74.32185363769531,99.69090270996094,25.4257755279541,22.290000915527344,64.30730438232422,5.166500091552734,0.686190128326416
2023-02-23,347.0199890136719,95.81999969482422,56.020477294921875,228.64694213867188,475.4553527832031,131.31150817871094,322.0442199707031,350.36334228515625,250.32188415527344,23.642982482910156,471.55303955078125,102.47949981689453,3154500,48467000,18939000,3219000,1546300,8068000,2229500,1975500,29219100,1117995000,2511800,11289400,4012.320068359375,,75.38999938964844,21.298999786376953,2.313999891281128,4.072999954223633,660.25,4.105000019073486,4.690000057220459,93.19224548339844,88.37960052490234,74.36771392822266,100.01728057861328,25.434770584106445,21.139999389648438,64.94264221191406,5.151199817657471,0.6812916994094849
2023-02-24,320.5400085449219,93.5,55.43992614746094,226.9365234375,471.0877990722656,132.49609375,316.26251220703125,347.9884338378906,244.86874389648438,23.265317916870117,464.4944763183594,102.48877716064453,8444500,57053800,15353000,2105500,1587600,9126900,2594600,2016100,24990900,589716000,2940400,14351000,3970.0400390625,27453.48046875,76.31999969482422,20.805999755859375,2.4509999752044678,3.9549999237060547,650.0,4.210000038146973,4.703000068664551,91.98062896728516,87.84507751464844,74.2118148803711,99.36454772949219,25.623641967773438,21.670000076293945,64.55098724365234,5.136199951171875,0.6810133457183838
2023-02-27,322.32000732421875,93.76000213623047,56.178802490234375,230.5975799560547,469.5644836425781,133.65249633789062,311.32647705078125,350.31414794921875,245.7923583984375,23.480125427246094,463.52581787109375,102.30368041992188,3500600,47470300,18321000,1720900,1501700,10014700,3043500,2200800,21190000,452994000,3006200,11710500,3982.239990234375,27423.9609375,75.68000030517578,20.670000076293945,2.7309999465942383,4.008999824523926,642.75,4.172999858856201,4.664999961853027,92.2357177734375,88.11233520507812,74.27599334716797,99.56966400146484,25.48873519897461,20.950000762939453,64.98612976074219,5.207799911499023,0.6735684871673584
2023-02-28,323.95001220703125,94.2300033569336,57.02707290649414,230.1843719482422,466.81671142578125,134.7712860107422,306.0167541503906,350.1268310546875,245.06527709960938,23.19538116455078,456.4481201171875,101.71142578125,2714200,43959300,27822000,2647700,1918200,11019800,3966900,2732900,22491000,455963000,3902100,18107000,3970.14990234375,27445.560546875,77.05000305175781,20.961000442504883,2.746999979019165,4.097499847412109,629.5,4.168000221252441,4.710000038146973,92.65476989746094,88.25057220458984,74.2576904296875,99.94265747070312,25.560684204101562,20.700000762939453,64.86430358886719,5.199699878692627,0.6743001937866211
2023-03-01,323.3800048828125,92.16999816894531,56.95798873901367,238.9477996826172,461.5042724609375,134.0191650390625,308.91748046875,348.36285400390625,241.97027587890625,22.67784309387207,455.7575378417969,102.61832427978516,2377700,52299500,15484000,4117700,1759300,7139200,3580800,1968100,27565300,460026000,2996900,13200000,3951.389892578125,27516.529296875,77.69000244140625,20.958999633789062,2.811000108718872,4.168000221252441,640.5,4.263000011444092,4.724999904632568,91.65935516357422,87.5450439453125,74.12171936035156,99.56966400146484,25.4257755279541,20.579999923706055,64.6804428100586,5.235899925231934,0.6730788350105286
2023-03-02,333.5,92.12999725341797,57.445457458496094,242.32058715820312,468.2725830078125,132.62774658203125,309.7826843261719,350.4028015136719,246.72576904296875,23.293292999267578,458.13604736328125,103.09027862548828,3845800,55509400,27525000,2676500,2379200,11106800,2885200,2526000,24808200,389415000,2188800,10339900,3981.35009765625,27498.869140625,78.16000366210938,20.766000747680664,2.765000104904175,4.084000110626221,637.75,4.324999809265137,4.7230000495910645,90.84659576416016,87.18488311767578,74.1492691040039,99.64427947998047,25.560684204101562,19.59000015258789,64.75923156738281,5.178299903869629,0.6759798526763916
2023-03-03,344.0400085449219,94.9000015258789,60.71859359741211,245.32821655273438,458.2165832519531,135.06272888183594,313.106201171875,356.24664306640625,250.83279418945312,23.86878204345703,458.9608154296875,104.39511108398438,3725500,55759600,46088000,2314700,5354200,9513100,3002800,2174900,30760100,412393000,2863300,13006700,4045.639892578125,27927.470703125,79.68000030517578,21.093000411987305,3.009000062942505,4.078000068664551,645.25,4.252999782562256,4.7179999351501465,93.04743957519531,87.88673400878906,74.1952133178711,100.71662139892578,25.46175193786621,18.489999771118164,65.4246826171875,5.1996002197265625,0.6735000014305115
2023-03-06,347.0199890136719,93.75,60.733943939208984,244.0502166748047,465.7561340332031,134.27301025390625,313.62738037109375,361.59765625,252.3852081298828,23.533079147338867,461.08990478515625,105.32051086425781,3060300,52112400,24983000,2317100,3104700,9261300,2673700,2789400,24109800,437429000,3812700,14347400,4048.419921875,28237.779296875,80.45999908447266,20.983999252319336,2.572000026702881,4.100500106811523,644.5,4.270999908447266,4.728000164031982,92.32601165771484,87.729736328125,74.15846252441406,100.17578887939453,25.4257755279541,18.610000610351562,65.4246826171875,5.194399833679199,0.6754611730575562
2023-03-07,344.79998779296875,93.55000305175781,59.98835372924805,236.5167236328125,467.7519226074219,130.32435607910156,305.4366455078125,354.70928955078125,249.7126922607422,23.271270751953125,454.47247314453125,103.28461456298828,2252800,49100700,19334000,3018400,2659100,11747600,2620800,1660800,21473200,515154000,2589200,11525300,3986.3701171875,28309.16015625,77.58000183105469,20.054000854492188,2.687000036239624,3.9865000247955322,642.0,4.315000057220459,4.84499979019165,92.89220428466797,87.7389907836914,74.00226593017578,99.5417251586914,25.740564346313477,19.59000015258789,64.96060180664062,5.152200222015381,0.6733099818229675
2023-03-08,345.8399963378906,93.91999816894531,60.67061233520508,238.9958953857422,468.6100158691406,129.5534210205078,307.3147277832031,353.8125,249.2705535888672,24.16362762451172,451.3267517089844,101.77621459960938,2518900,44899100,20912000,2068600,1548500,10002500,2313200,1634400,17340200,513573000,3036600,13509800,3992.010009765625,28444.189453125,76.66000366210938,20.0049991607666,2.5510001182556152,4.041500091552734,634.5,4.335999965667725,4.882999897003174,92.9835205078125,87.71126556396484,73.96552276611328,99.06614685058594,25.731569290161133,19.110000610351562,64.6541519165039,5.190000057220459,0.6591001749038696
2023-03-09,338.3699951171875,92.25,59.7359733581543,231.5392608642578,462.3238220214844,122.53985595703125,311.5526428222656,349.2892150878906,247.9146728515625,23.419164657592773,445.8698425292969,100.98960876464844,3798300,56218700,21775000,2518800,1629400,25888100,3920300,2414700,26653400,501257000,2780400,12961200,3918.320068359375,28623.150390625,75.72000122070312,20.024999618530273,2.5429999828338623,4.054500102996826,618.5,4.2210001945495605,4.8480000495910645,93.21183013916016,88.256103515625,74.20437622070312,99.32723236083984,25.659618377685547,22.610000610351562,64.2951889038086,5.144400119781494,0.6594000458717346
2023-03-10,329.29998779296875,90.7300033569336,58.99806213378906,218.13462829589844,454.2443542480469,125.65177917480469,309.75323486328125,342.06573486328125,244.24977111816406,22.948501586914062,443.0498046875,99.74031829833984,4148200,69827500,26098000,5767500,2123000,37599700,4597300,3176400,28333900,474866000,3787500,15795700,3861.590087890625,28143.970703125,76.68000030517578,20.375,2.430000066757202,4.045499801635742,624.25,3.9539999961853027,4.802999973297119,96.42633056640625,89.88142395019531,74.60863494873047,100.79121398925781,25.49772834777832,24.799999237060547,64.30390930175781,5.163700103759766,0.6591001749038696
2023-03-13,324.2699890136719,92.43000030517578,59.155433654785156,215.9149627685547,455.0735168457031,123.39539337158203,319.0649108886719,339.7005615234375,249.48670959472656,22.949501037597656,446.2740478515625,98.59280395507812,4203500,72397100,22364000,4885100,1799600,42901100,5275600,3308200,33339700,421890000,2971600,20745600,3855.760009765625,27832.9609375,74.80000305175781,21.792999267578125,2.6059999465942383,4.069499969482422,624.5,3.6659998893737793,4.6579999923706055,96.64552307128906,90.97113037109375,75.35276794433594,101.55584716796875,25.263885498046875,26.520000457763672,63.95366287231445,5.21560001373291,0.6634203791618347
