feature,score,selected,constant,sparse
ret_JPM,2.4418841474326027e-06,False,False,False
price_JPM,8.860506915157436e-05,False,False,False
logret_JPM,3.4566885629036187e-06,False,False,False
rollret_14_JPM,3.833154171616847e-05,False,False,False
rollret_21_JPM,0.00011380811746577694,False,False,False
rollret_69_JPM,3.478262298478639e-05,False,False,False
sma_14_JPM,2.8996220102719042e-05,False,False,False
sma_21_JPM,0.00043744540614771513,True,False,False
sma_69_JPM,8.246957763441639e-05,False,False,False
ema_14_JPM,0.00021044296085501394,False,False,False
ema_21_JPM,1.7226603931385496e-05,False,False,False
ema_69_JPM,0.0014769688660925104,True,False,False
momentum_14_JPM,0.00024266038406243754,False,False,False
momentum_21_JPM,0.0001902950196314112,False,False,False
momentum_69_JPM,8.184288199943686e-05,False,False,False
macd_JPM,0.013201673109928992,True,False,False
pricevshigh_14_JPM,7.250804466018086e-05,False,False,False
pricevshigh_21_JPM,3.342365592655607e-05,False,False,False
pricevshigh_69_JPM,1.7825290424310523e-05,False,False,False
vol_14_JPM,0.0001008559024459089,False,False,False
vol_21_JPM,0.00010421060432416481,False,False,False
vol_69_JPM,0.00020161962717023339,False,False,False
atr_14_JPM,5.060626324292445e-05,False,False,False
atr_21_JPM,0.0005667477194735833,True,False,False
atr_69_JPM,0.00014733782270159586,False,False,False
range_JPM,1.787872896289124e-05,False,False,False
volchange_14_JPM,2.3125934520474764e-05,False,False,False
volchange_21_JPM,5.152866466691646e-05,False,False,False
volchange_69_JPM,3.874995174685595e-05,False,False,False
volptile_14_JPM,2.0343586887038487e-05,False,False,False
volptile_21_JPM,0.00014446991869342197,False,False,False
volptile_69_JPM,0.004362188419039833,True,False,False
zscore_14_JPM,5.8153253960129866e-05,False,False,False
zscore_21_JPM,3.12762595642123e-05,False,False,False
zscore_69_JPM,0.00012076016853920434,False,False,False
rsi_14_JPM,0.00031493803333761914,False,False,False
rsi_21_JPM,7.768916849725296e-05,False,False,False
rsi_69_JPM,0.0002579074899378699,False,False,False
cmo_14_JPM,5.061537426267338e-05,False,False,False
cmo_21_JPM,1.9589666194478534e-05,False,False,False
cmo_69_JPM,4.6568934658548635e-05,False,False,False
williams_14_JPM,5.22863001165498e-05,False,False,False
williams_21_JPM,4.016039186696335e-05,False,False,False
williams_69_JPM,3.6801581251364716e-05,False,False,False
stoch_14_JPM,1.5973952534439665e-05,False,False,False
stoch_21_JPM,0.0003261124108197857,False,False,False
stoch_69_JPM,7.373832115487531e-05,False,False,False
ptile_rank_14_JPM,1.2779006790672361e-05,False,False,False
ptile_rank_21_JPM,9.898821482479596e-06,False,False,False
ptile_rank_69_JPM,1.2536488936269393e-05,False,False,False
meanabsret_14_JPM,4.757339447807873e-05,False,False,False
meanabsret_21_JPM,0.00017324769968274392,False,False,False
meanabsret_69_JPM,0.00015660739976543033,False,False,False
boll_Upper_14_JPM,0.0009606572793556459,True,False,False
boll_Lower_14_JPM,5.0388489593459306e-05,False,False,False
boll_Upper_21_JPM,0.00019250641592367888,False,False,False
boll_Lower_21_JPM,5.519054992759272e-05,False,False,False
boll_Upper_69_JPM,0.0002992928797828453,False,False,False
boll_Lower_69_JPM,0.00013131249013017838,False,False,False
donchian_14_JPM,0.0001809865569582028,False,False,False
donchian_21_JPM,0.013713748873821317,True,False,False
donchian_69_JPM,8.199181566302379e-05,False,False,False
lag_14_JPM,5.6328107642523394e-05,False,False,False
lag_21_JPM,0.00019548291869987547,False,False,False
lag_69_JPM,0.00015373161989752204,False,False,False
volume_zscore_14_JPM,5.68733104144876e-05,False,False,False
volume_zscore_21_JPM,6.401386816388029e-05,False,False,False
volume_zscore_69_JPM,2.6985063837965272e-05,False,False,False
ret_MSFT,4.558306973204141e-05,False,False,False
price_MSFT,7.914942244210347e-06,False,False,False
logret_MSFT,9.810284611868322e-06,False,False,False
rollret_14_MSFT,4.560016783458062e-05,False,False,False
rollret_21_MSFT,0.0005383836950933704,True,False,False
rollret_69_MSFT,4.137352737675076e-05,False,False,False
sma_14_MSFT,0.00015753090823822176,False,False,False
sma_21_MSFT,0.00017604048145971848,False,False,False
sma_69_MSFT,0.004854246227603475,True,False,False
ema_14_MSFT,1.6262083049011273e-05,False,False,False
ema_21_MSFT,8.197982290588243e-05,False,False,False
ema_69_MSFT,0.0009169943939027281,True,False,False
momentum_14_MSFT,3.387028596850433e-06,False,False,False
momentum_21_MSFT,0.0006120557900018674,True,False,False
momentum_69_MSFT,0.00022189386349805816,False,False,False
macd_MSFT,0.0001323667454017734,False,False,False
pricevshigh_14_MSFT,3.3649141673660477e-05,False,False,False
pricevshigh_21_MSFT,4.0524311751434265e-05,False,False,False
pricevshigh_69_MSFT,3.427626278013679e-05,False,False,False
vol_14_MSFT,0.004162894640430639,True,False,False
vol_21_MSFT,0.0016345188733236564,True,False,False
vol_69_MSFT,0.00018626690019532554,False,False,False
atr_14_MSFT,0.0003831731952477929,False,False,False
atr_21_MSFT,0.0002268508780548711,False,False,False
atr_69_MSFT,0.0002164459389196833,False,False,False
range_MSFT,0.00015884001703962697,False,False,False
volchange_14_MSFT,8.061133885753791e-06,False,False,False
volchange_21_MSFT,1.2635967089406762e-05,False,False,False
volchange_69_MSFT,3.707373935007738e-06,False,False,False
volptile_14_MSFT,7.1396627748112e-05,False,False,False
volptile_21_MSFT,0.0010392180047395442,True,False,False
volptile_69_MSFT,0.00032734341090054543,False,False,False
zscore_14_MSFT,0.00022266630617675075,False,False,False
zscore_21_MSFT,9.013479660293648e-05,False,False,False
zscore_69_MSFT,9.014242446137961e-05,False,False,False
rsi_14_MSFT,9.76073558626882e-05,False,False,False
rsi_21_MSFT,0.00027236607630468145,False,False,False
rsi_69_MSFT,7.468711551790543e-05,False,False,False
cmo_14_MSFT,3.19142488162031e-05,False,False,False
cmo_21_MSFT,0.0002655466024134035,False,False,False
cmo_69_MSFT,2.3731399273113978e-05,False,False,False
williams_14_MSFT,1.6420812795977572e-05,False,False,False
williams_21_MSFT,2.4481610171580344e-05,False,False,False
williams_69_MSFT,2.618817484403611e-05,False,False,False
stoch_14_MSFT,1.1249378149787855e-05,False,False,False
stoch_21_MSFT,6.0268921984558815e-05,False,False,False
stoch_69_MSFT,1.659468479988745e-05,False,False,False
ptile_rank_14_MSFT,7.0251402475883515e-06,False,False,False
ptile_rank_21_MSFT,4.153244576398019e-05,False,False,False
ptile_rank_69_MSFT,0.0001366207517659539,False,False,False
meanabsret_14_MSFT,0.00036349441385211427,False,False,False
meanabsret_21_MSFT,0.00023408004817884376,False,False,False
meanabsret_69_MSFT,0.00025861594014801767,False,False,False
boll_Upper_14_MSFT,0.00012693457160863988,False,False,False
boll_Lower_14_MSFT,0.00068500402861755,True,False,False
boll_Upper_21_MSFT,0.0006269398192744087,True,False,False
boll_Lower_21_MSFT,0.0004561026066254555,True,False,False
boll_Upper_69_MSFT,0.0019627716778988715,True,False,False
boll_Lower_69_MSFT,0.00014579107299909208,False,False,False
donchian_14_MSFT,0.0014664182846363958,True,False,False
donchian_21_MSFT,0.00023874945061196085,False,False,False
donchian_69_MSFT,0.0020464750510003787,True,False,False
lag_14_MSFT,3.0308565432894715e-05,False,False,False
lag_21_MSFT,8.409589217384573e-05,False,False,False
lag_69_MSFT,0.00016181356503449921,False,False,False
volume_zscore_14_MSFT,0.0011086278420805765,True,False,False
volume_zscore_21_MSFT,3.448495881439371e-05,False,False,False
volume_zscore_69_MSFT,1.7725317498735636e-05,False,False,False
ret_NVDA,0.00043470277793725186,True,False,False
price_NVDA,9.182287025189731e-05,False,False,False
logret_NVDA,2.171956648591886e-05,False,False,False
rollret_14_NVDA,4.942641299485572e-06,False,False,False
rollret_21_NVDA,0.00017823320169449105,False,False,False
rollret_69_NVDA,5.9968145268413515e-05,False,False,False
sma_14_NVDA,0.0002085555867975281,False,False,False
sma_21_NVDA,0.0006262906047235767,True,False,False
sma_69_NVDA,3.8177210828328866e-05,False,False,False
ema_14_NVDA,7.153191147677382e-05,False,False,False
ema_21_NVDA,0.0005695631988807652,True,False,False
ema_69_NVDA,2.6297883205125004e-06,False,False,False
momentum_14_NVDA,5.794580464954938e-05,False,False,False
momentum_21_NVDA,0.0001722667881621145,False,False,False
momentum_69_NVDA,2.873488192076257e-05,False,False,False
macd_NVDA,0.0005802403288125062,True,False,False
pricevshigh_14_NVDA,7.438098944611586e-05,False,False,False
pricevshigh_21_NVDA,0.0001033245729934886,False,False,False
pricevshigh_69_NVDA,3.867964978453985e-05,False,False,False
vol_14_NVDA,0.00011605086189579851,False,False,False
vol_21_NVDA,0.0007455432409525033,True,False,False
vol_69_NVDA,0.0003812779201991286,False,False,False
atr_14_NVDA,0.00020759764027613754,False,False,False
atr_21_NVDA,0.00038151445429593015,False,False,False
atr_69_NVDA,0.0003263867596612229,False,False,False
range_NVDA,1.9055756515118267e-05,False,False,False
volchange_14_NVDA,3.2755123282366656e-05,False,False,False
volchange_21_NVDA,2.0795063093089804e-05,False,False,False
volchange_69_NVDA,1.7049202132384034e-05,False,False,False
volptile_14_NVDA,0.0001282049389373669,False,False,False
volptile_21_NVDA,0.00029293583965045146,False,False,False
volptile_69_NVDA,0.00016578530372991467,False,False,False
zscore_14_NVDA,0.00041775409081143823,True,False,False
zscore_21_NVDA,0.0006725293671587435,True,False,False
